,avgrating,features,link,name,price,rating
0,4.4,"6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories",/realme-6-comet-white-128-gb/p/itm20124d6ca5690?pid=MOBFPCX793UFBX3N&lid=LSTMOBFPCX793UFBX3NBHPRID&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=85a6d3c2-7476-4677-9cdb-e153e393a65b.MOBFPCX793UFBX3N.SEARCH&ssid=orh0bb1i5c0000001587672028034&qH=708330e9ee9eef73,"Realme 6 (Comet White, 128 GB)","₹15,999","3,198 Ratings & 399 Reviews"
1,4.4,"6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories",/realme-6-comet-blue-128-gb/p/itm64975b00cb8e6?pid=MOBFPCX7UQU3CHKG&lid=LSTMOBFPCX7UQU3CHKG2J1SAU&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=85a6d3c2-7476-4677-9cdb-e153e393a65b.MOBFPCX7UQU3CHKG.SEARCH&ssid=orh0bb1i5c0000001587672028034&qH=708330e9ee9eef73,"Realme 6 (Comet Blue, 128 GB)","₹15,999","3,198 Ratings & 399 Reviews"
2,4.4,"8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories",/realme-6-comet-white-128-gb/p/itm12516d12e4a46?pid=MOBFPCX7U6C69DSU&lid=LSTMOBFPCX7U6C69DSUXD4ZOQ&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=85a6d3c2-7476-4677-9cdb-e153e393a65b.MOBFPCX7U6C69DSU.SEARCH&ssid=orh0bb1i5c0000001587672028034&qH=708330e9ee9eef73,"Realme 6 (Comet White, 128 GB)","₹16,999","2,270 Ratings & 293 Reviews"
3,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories",/realme-6-comet-blue-64-gb/p/itm212944b2e7fb0?pid=MOBFPCX7F9NBPRRT&lid=LSTMOBFPCX7F9NBPRRTSHD9FQ&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=85a6d3c2-7476-4677-9cdb-e153e393a65b.MOBFPCX7F9NBPRRT.SEARCH&ssid=orh0bb1i5c0000001587672028034&qH=708330e9ee9eef73,"Realme 6 (Comet Blue, 64 GB)","₹13,999","15,333 Ratings & 2,059 Reviews"
4,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories",/realme-6-comet-white-64-gb/p/itm60c8ea61964bf?pid=MOBFPCX7VUY74ZND&lid=LSTMOBFPCX7VUY74ZNDMGKMU7&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=85a6d3c2-7476-4677-9cdb-e153e393a65b.MOBFPCX7VUY74ZND.SEARCH&ssid=orh0bb1i5c0000001587672028034&qH=708330e9ee9eef73,"Realme 6 (Comet White, 64 GB)","₹13,999","15,333 Ratings & 2,059 Reviews"
5,4.4,"8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories",/realme-6-comet-blue-128-gb/p/itm50e6d62dcf5ee?pid=MOBFPCX72FYWY7NF&lid=LSTMOBFPCX72FYWY7NFMSGQ1L&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=85a6d3c2-7476-4677-9cdb-e153e393a65b.MOBFPCX72FYWY7NF.SEARCH&ssid=orh0bb1i5c0000001587672028034&qH=708330e9ee9eef73,"Realme 6 (Comet Blue, 128 GB)","₹16,999","2,270 Ratings & 293 Reviews"
6,4.5,"8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,4300 mAh Battery,Snapdragon 720G Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor | Dual In Display Selfie,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories",/realme-6-pro-lightning-orange-128-gb/p/itmddcf565f06b39?pid=MOBFPCX7FCHNRHVW&lid=LSTMOBFPCX7FCHNRHVWOIHIBL&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=85a6d3c2-7476-4677-9cdb-e153e393a65b.MOBFPCX7FCHNRHVW.SEARCH&ssid=orh0bb1i5c0000001587672028034&qH=708330e9ee9eef73,"Realme 6 Pro (Lightning Orange, 128 GB)","₹19,999","2,817 Ratings & 374 Reviews"
7,4.5,"8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,4300 mAh Battery,Snapdragon 720G Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor | Dual In Display Selfie,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories",/realme-6-pro-lightning-blue-128-gb/p/itmeab248911af26?pid=MOBFPCX7M72AW7HA&lid=LSTMOBFPCX7M72AW7HADH0Q88&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=85a6d3c2-7476-4677-9cdb-e153e393a65b.MOBFPCX7M72AW7HA.SEARCH&ssid=orh0bb1i5c0000001587672028034&qH=708330e9ee9eef73,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999","2,817 Ratings & 374 Reviews"
8,4.6,"6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,4300 mAh Battery,Snapdragon 720G Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor | Dual In Display Selfie,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories",/realme-6-pro-lightning-blue-128-gb/p/itmd9a5cc09fe873?pid=MOBFPCX78AFMAGWR&lid=LSTMOBFPCX78AFMAGWRVAZKNB&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=85a6d3c2-7476-4677-9cdb-e153e393a65b.MOBFPCX78AFMAGWR.SEARCH&ssid=orh0bb1i5c0000001587672028034&qH=708330e9ee9eef73,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999","3,100 Ratings & 368 Reviews"
9,4.6,"6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,4300 mAh Battery,Snapdragon 720G Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor | Dual In Display Selfie,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories",/realme-6-pro-lightning-blue-64-gb/p/itm19b1945c12aee?pid=MOBFPCX76F3BYQDH&lid=LSTMOBFPCX76F3BYQDHGAICT2&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=85a6d3c2-7476-4677-9cdb-e153e393a65b.MOBFPCX76F3BYQDH.SEARCH&ssid=orh0bb1i5c0000001587672028034&qH=708330e9ee9eef73,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999","3,100 Ratings & 368 Reviews"
