,name,link,features,price,rating,avgrating,website
0,Bonmaro Blue SPORT Backpack,https://www.snapdeal.com/product/bonmaro-blue-sport-backpack/666600596696,,899,34,3.90,snapdeal
1,JGShoppe Red Backpack,https://www.snapdeal.com/product/jgshoppe-red-backpack/646569493600,,902,,,snapdeal
2,Surpriam Blue Backpack,https://www.snapdeal.com/product/surpriam-blue-backpack/661445688513,,799,,,snapdeal
3,LAVIE SPORT Blue Backpack 35 Ltrs College Bags Office Bags Shoulder Bags For Men & Women Girls Backpack,https://www.snapdeal.com/product/lavie-sport-blue-backpack/659104133925,,1784,,,snapdeal
4,VRS BAG Black Polyester College Bag,https://www.snapdeal.com/product/vrs-bag-black-polyester-college/621633972334,,589,,,snapdeal
5,JGShoppe Pink JGTrendy162 Backpack,https://www.snapdeal.com/product/jgshoppe-pink-jgtrendy162-backpack/671721008963,,623,,,snapdeal
6,Truffle Collection Dark Navy Backpack,https://www.snapdeal.com/product/truffle-collection-dark-navy-backpack/635672053923,,1665,,,snapdeal
7,Harp Blue Backpack,https://www.snapdeal.com/product/harp-blue-backpack/630387391454,,1499,,,snapdeal
8,Unity Grey Drawstring Bag,https://www.snapdeal.com/product/unity-grey-drawstring-bag/675693929808,,259,,,snapdeal
9,Other Manufacturer Blue Backpack,https://www.snapdeal.com/product/other-manufacturer-blue-backpack/645323803334,,756,,,snapdeal
10,Cratos Casual Canvas backpack - 17 ltrs,https://www.snapdeal.com/product/cratos-multicolour-backpack/659863154853,,624,,,snapdeal
11,xzoom Grey Backpack,https://www.snapdeal.com/product/xzoom-grey-backpack/629494550798,,739,,,snapdeal
12,Vegan Brown Leather College Bag,https://www.snapdeal.com/product/vegan-brown-leather-college-bag/663404850992,,1125,,,snapdeal
13,Leather World Rust Laptop Backpack Backpack,https://www.snapdeal.com/product/leather-world-rust-laptop-backpack/640341629774,,3781,,,snapdeal
14,Tasche Yellow & Black Stylish Travel Backpack,https://www.snapdeal.com/product/tasche-yellowblack-backpack/655046896546,,799,,,snapdeal
15,Other Manufacturer Blue Backpack,https://www.snapdeal.com/product/other-manufacturer-blue-backpack/648116667815,,749,,,snapdeal
16,DC CONCEPTS Grey Backpack,https://www.snapdeal.com/product/dc-concepts-grey-backpack/679593102135,,1499,,,snapdeal
17,PARADISE Blue Polyester College Bag,https://www.snapdeal.com/product/paradise-blue-polyester-college-bag/648265178374,,699,,,snapdeal
18,Infiniti Black Backpack,https://www.snapdeal.com/product/infiniti-black-backpack/649757410985,,753,,,snapdeal
19,LACIRA Black Backpack,https://www.snapdeal.com/product/lacira-black-backpack/684066318835,,1999,,,snapdeal
