,name,link,features,price,rating,avgrating,website
0,Canon M50 Mirrorless Camera Body with Single Lens EF-M 15-45 mm IS STM,http://www.flipkart.com/canon-m50-mirrorless-camera-body-single-lens-ef-m-15-45-mm-stm/p/itmf4w3xgva9z9ku?pid=DLLF4W3XMQQCZUTG&lid=LSTDLLF4W3XMQQCZUTGMIGJ7N&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=fcda5823-bb88-495a-a51f-ef78c6bea943.DLLF4W3XMQQCZUTG.SEARCH&ssid=92pfr3jq7k0000001588506381931&qH=74c9687238a05332,"Effective Pixels: 24.1 MP,Sensor Type: CMOS,WiFi Available,1920 x 1080,Product is covered under one-year standard warranty and one-year additional warranty from the date of Product purchased by the customer. Warranty validation / Warranty period confirmation would be done through either Online Warranty Serial No. Tracking system (Service Edge) or Warranty Card and Customer Invoice date.","₹46,990",517 Ratings & 74 Reviews,4.6,flipkart
1,Canon EOS 200D II DSLR Camera Body with Single Lens 18 - 55 mm f/4 - 5.6 IS STM,http://www.flipkart.com/canon-eos-200d-ii-dslr-camera-body-single-lens-18-55-mm-f-4-5-6-stm/p/itmffnvdvggfjf95?pid=DLLFFNVDYGQN9XCS&lid=LSTDLLFFNVDYGQN9XCSDPECPX&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=fcda5823-bb88-495a-a51f-ef78c6bea943.DLLFFNVDYGQN9XCS.SEARCH&ssid=92pfr3jq7k0000001588506381931&qH=74c9687238a05332,"Effective Pixels: 24.1 MP,Sensor Type: CMOS,WiFi Available,Full HD,2 Years Brand Warranty","₹47,999",518 Ratings & 85 Reviews,4.6,flipkart
2,Canon EOS 200D II DSLR Camera EF-S 18 - 55 mm IS STM and 55 - 250 mm IS STM,http://www.flipkart.com/canon-eos-200d-ii-dslr-camera-ef-s-18-55-mm-stm-250/p/itmc590e10a05dd4?pid=DLLFFNVDXGZDMGAQ&lid=LSTDLLFFNVDXGZDMGAQVVVEI9&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=fcda5823-bb88-495a-a51f-ef78c6bea943.DLLFFNVDXGZDMGAQ.SEARCH&ssid=92pfr3jq7k0000001588506381931&qH=74c9687238a05332,"Effective Pixels: 24.1 MP,Sensor Type: CMOS,WiFi Available,Full HD,2 Years Brand Warranty","₹57,999",518 Ratings & 85 Reviews,4.6,flipkart
3,Canon EOS 1500D DSLR Camera Body Dual kit with EF-S 18-55 IS II + 55-250 IS II lens (16 GB Memory Card...,http://www.flipkart.com/canon-eos-1500d-dslr-camera-body-dual-kit-ef-s-18-55-ii-55-250-lens-16-gb-memory-card-carry-case/p/itmf3vggbbbk8yqf?pid=CAMF3DHJSYMS8QRG&lid=LSTCAMF3DHJSYMS8QRG16NS3G&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=fcda5823-bb88-495a-a51f-ef78c6bea943.CAMF3DHJSYMS8QRG.SEARCH&ssid=92pfr3jq7k0000001588506381931&qH=74c9687238a05332,"Effective Pixels: 24.1 MP,Sensor Type: CMOS,WiFi Available,1080p recording at 30p,Product is covered under one-year standard warranty and one-year additional warranty from the date of Product purchased by the customer. Warranty validation / Warranty period confirmation would be done through either Online Warranty Serial No. Tracking system (Service Edge) or Warranty Card and Customer Invoice date.","₹35,999","5,830 Ratings & 929 Reviews",4.5,flipkart
4,Canon EOS 77D DSLR Camera Body with Single Lens: EF-S18-135 IS USM (16 GB SD Card + Camera Bag),http://www.flipkart.com/canon-eos-77d-dslr-camera-body-single-lens-ef-s18-135-usm-16-gb-sd-card-bag/p/itmes6eeubczzzsn?pid=DLLES6EEJEEXTMNX&lid=LSTDLLES6EEJEEXTMNXBU00DO&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=fcda5823-bb88-495a-a51f-ef78c6bea943.DLLES6EEJEEXTMNX.SEARCH&ssid=92pfr3jq7k0000001588506381931&qH=74c9687238a05332,"Effective Pixels: 24.2 MP,Sensor Type: CMOS,WiFi Available,1080p at 60p + Time-Lapse,Product is covered under one-year standard warranty and one-year additional warranty from the date of Product purchased by the customer. Warranty validation / Warranty period confirmation would be done through either Online Warranty Serial No. Tracking system (Service Edge) or Warranty Card and Customer Invoice date.","₹67,999",581 Ratings & 104 Reviews,4.6,flipkart
5,Canon 3000D (With Basic Accessory Kit) DSLR Camera With 18-55 lens,http://www.flipkart.com/canon-3000d-with-basic-accessory-kit-dslr-camera-18-55-lens/p/itm8a03617eeee49?pid=DLLFK7YXPZYSJTQU&lid=LSTDLLFK7YXPZYSJTQUJ0PNOK&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=fcda5823-bb88-495a-a51f-ef78c6bea943.DLLFK7YXPZYSJTQU.SEARCH&ssid=92pfr3jq7k0000001588506381931&qH=74c9687238a05332,"Self-Timer | Type C and Mini HDMI, |9 Auto Focus Points | 35x Optical Zoom., Effective Pixels: 18 MP APS-C CMOS sensor-which is 25 times larger than a typical Smartphone sensor., WiFi | Full HD | Video Recording at 1080 p on 30fps.,Effective Pixels: 18 MP,Sensor Type: CMOS,WiFi Available,Full HD,Product is covered under one-year standard warranty and one-year additional warranty from the date of Product purchased by the customer. Warranty validation / Warranty period confirmation would be done through either Online Warranty Serial No. Tracking system (Service Edge) or Warranty Card and Customer Invoice date.","₹25,999","12,730 Ratings & 2,113 Reviews",4.4,flipkart
6,Canon EOS 3000D DSLR Camera Single Kit with 18-55 lens (16 GB Memory Card & Carry Case),http://www.flipkart.com/canon-eos-3000d-dslr-camera-single-kit-18-55-lens-16-gb-memory-card-carry-case/p/itmf3dhjyznuhayu?pid=CAMF3DHJURPEMNRN&lid=LSTCAMF3DHJURPEMNRNEB3BV2&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=fcda5823-bb88-495a-a51f-ef78c6bea943.CAMF3DHJURPEMNRN.SEARCH&ssid=92pfr3jq7k0000001588506381931&qH=74c9687238a05332,"Self-Timer | Type C and Mini HDMI, |9 Auto Focus Points | 35x Optical Zoom., Effective Pixels: 18 MP APS-C CMOS sensor-which is 25 times larger than a typical Smartphone sensor., WiFi | Full HD | Video Recording at 1080 p on 30fps.,Effective Pixels: 18 MP,Sensor Type: CMOS,WiFi Available,Full HD,Product is covered under one-year standard warranty and one-year additional warranty from the date of Product purchased by the customer. Warranty validation / Warranty period confirmation would be done through either Online Warranty Serial No. Tracking system (Service Edge) or Warranty Card and Customer Invoice date.","₹22,990","12,730 Ratings & 2,113 Reviews",4.4,flipkart
7,Canon EOS M200 Mirrorless Camera Body with Dual Lens 15-45 and 55-200 mm,http://www.flipkart.com/canon-eos-m200-mirrorless-camera-body-dual-lens-15-45-55-200-mm/p/itmff062dccee01f?pid=DLLFKMK9YGSFPPQM&lid=LSTDLLFKMK9YGSFPPQM5UJU3N&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=fcda5823-bb88-495a-a51f-ef78c6bea943.DLLFKMK9YGSFPPQM.SEARCH&ssid=92pfr3jq7k0000001588506381931&qH=74c9687238a05332,"Effective Pixels: 24.1 MP,Sensor Type: CMOS,WiFi Available,4K,1 Year Warranty on Product","₹50,990",19 Ratings & 4 Reviews,4.3,flipkart
8,Canon EOS 3000D DSLR Camera Dual Kit with 18-55 mm + 50mm 1.8 STM lens (16 GB Memory Card & Carry Case...,http://www.flipkart.com/canon-eos-3000d-dslr-camera-dual-kit-18-55-mm-50mm-1-8-stm-lens-16-gb-memory-card-carry-case/p/itmfg8yar2gsrmrn?pid=DLLFG8Y8KAFGYXK4&lid=LSTDLLFG8Y8KAFGYXK4LPAU9C&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=fcda5823-bb88-495a-a51f-ef78c6bea943.DLLFG8Y8KAFGYXK4.SEARCH&ssid=92pfr3jq7k0000001588506381931&qH=74c9687238a05332,"Self-Timer | Type C and Mini HDMI, |9 Auto Focus Points | 35x Optical Zoom., Effective Pixels: 18 MP APS-C CMOS sensor-which is 25 times larger than a typical Smartphone sensor., WiFi | Full HD | Video Recording at 1080 p on 30fps.,Effective Pixels: 18 MP,Sensor Type: CMOS,WiFi Available,Full HD,Product is covered under one-year standard warranty and one-year additional warranty from the date of Product purchased by the customer. Warranty validation / Warranty period confirmation would be done through either Online Warranty Serial No. Tracking system (Service Edge) or Warranty Card and Customer Invoice date.","₹29,990","12,730 Ratings & 2,113 Reviews",4.4,flipkart
9,Canon EOS 90D DSLR Camera Body with Single Lens 18 - 55 mm IS STM,http://www.flipkart.com/canon-eos-90d-dslr-camera-body-single-lens-18-55-mm-stm/p/itmc94182bc5f31c?pid=DLLFK5RRPVMECXCH&lid=LSTDLLFK5RRPVMECXCH6PR1PG&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=fcda5823-bb88-495a-a51f-ef78c6bea943.DLLFK5RRPVMECXCH.SEARCH&ssid=92pfr3jq7k0000001588506381931&qH=74c9687238a05332,"Effective Pixels: 32.5 MP,Sensor Type: CMOS,WiFi Available,4K,1 Year Warranty on Product","₹92,999",11 Ratings & 3 Reviews,4.6,flipkart
10,Canon EOS 90D DSLR Camera Body with Single Lens 18 - 135 mm IS USM,http://www.flipkart.com/canon-eos-90d-dslr-camera-body-single-lens-18-135-mm-usm/p/itm97412c19f5571?pid=DLLFK5RRCJRXSBCA&lid=LSTDLLFK5RRCJRXSBCAB3ILL0&marketplace=FLIPKART&srno=s_1_11&otracker=search&fm=organic&iid=fcda5823-bb88-495a-a51f-ef78c6bea943.DLLFK5RRCJRXSBCA.SEARCH&ssid=92pfr3jq7k0000001588506381931&qH=74c9687238a05332,"Effective Pixels: 32.5 MP,Sensor Type: CMOS,WiFi Available,4K,1 Year Warranty on Product","₹1,13,999",11 Ratings & 3 Reviews,4.6,flipkart
11,Canon Pixma G 2000 Multi-function Color Printer,http://www.flipkart.com/canon-pixma-g-2000-multi-function-color-printer/p/itmeeh62h26g6c86?pid=PRNEEH62WKBDHGFM&lid=LSTPRNEEH62WKBDHGFMSC8XX3&marketplace=FLIPKART&srno=s_1_12&otracker=search&fm=organic&iid=fcda5823-bb88-495a-a51f-ef78c6bea943.PRNEEH62WKBDHGFM.SEARCH&ssid=92pfr3jq7k0000001588506381931&qH=74c9687238a05332,"Printer: Inkjet,Output: Color,Interface: USB,Cost per Page (Black): 0.08 Rs.,Cost per Page (Color): 0.21 Rs.,Duty cycle (monthly, A4): 10000 pages,Print Speed Mono: 8.8 ipm,1 Year On-site warranty from the date of purchase or 15000 prints, whichever is earlier","₹9,199","9,712 Ratings & 1,643 Reviews",4.3,flipkart
12,"KBOOM Camera Stand Tripod With 3-Way Head Tripod for Canon Nikon Digital Camera DV Camcorder, Tripod 3...",http://www.flipkart.com/kboom-camera-stand-tripod-3-way-head-canon-nikon-digital-dv-camcorder-3110-mobile-phone-holder-mount-all-smartphones/p/itmfbpgbt9wsurtp?pid=ACCFBPCYGSM9Q7UJ&lid=LSTACCFBPCYGSM9Q7UJG6QDX1&marketplace=FLIPKART&srno=s_1_13&otracker=search&fm=organic&iid=fcda5823-bb88-495a-a51f-ef78c6bea943.ACCFBPCYGSM9Q7UJ.SEARCH&ssid=92pfr3jq7k0000001588506381931&qH=74c9687238a05332,"Designed For: DSLR/SLR Camera, Video Camera, Mobile,Load Capacity: 1500 g,Height Range: 300 mm - 1100 mm,Number of Leg Sections: 4,Material: Aluminium,10 DAY REPLACEMENT POLICY",₹305,"5,228 Ratings & 876 Reviews",3.7,flipkart
13,Canon EOS 6D Mark II DSLR Camera Body with Single Lens: EF24-105mm f/4L IS II USM,http://www.flipkart.com/canon-eos-6d-mark-ii-dslr-camera-body-single-lens-ef24-105mm-f-4l-usm/p/itmewhqzbzbgugge?pid=DLLEWHQZFPFTSF4G&lid=LSTDLLEWHQZFPFTSF4GR1FSHG&marketplace=FLIPKART&srno=s_1_14&otracker=search&fm=organic&iid=fcda5823-bb88-495a-a51f-ef78c6bea943.DLLEWHQZFPFTSF4G.SEARCH&ssid=92pfr3jq7k0000001588506381931&qH=74c9687238a05332,"Effective Pixels: 26.2 MP,Sensor Type: CMOS,1080p at 60p + Time-Lapse,Product is covered under one-year standard warranty and one-year additional warranty from the date of Product purchased by the customer. Warranty validation / Warranty period confirmation would be done through either Online Warranty Serial No. Tracking system (Service Edge) or Warranty Card and Customer Invoice date.","₹1,57,999",30 Ratings & 2 Reviews,4.5,flipkart
14,Canon EOS 1300D DSLR Camera Body with Dual Lens: EF-S 18-55 mm IS II + EF-S 55-250 mm F4 5.6 IS II (16...,http://www.flipkart.com/canon-eos-1300d-dslr-camera-body-dual-lens-ef-s-18-55-mm-ii-55-250-f4-5-6-16-gb-sd-card-bag/p/itmehc5jwagwe7ep?pid=CAMEHC5JY6E4HJSU&lid=LSTCAMEHC5JY6E4HJSUA9Z8MC&marketplace=FLIPKART&srno=s_1_15&otracker=search&fm=organic&iid=fcda5823-bb88-495a-a51f-ef78c6bea943.CAMEHC5JY6E4HJSU.SEARCH&ssid=92pfr3jq7k0000001588506381931&qH=74c9687238a05332,"Effective Pixels: 18 MP,Sensor Type: CMOS,WiFi Available,1080p recording at 30p,Product is covered under one-year standard warranty and one-year additional warranty from the date of Product purchased by the customer. Warranty validation / Warranty period confirmation would be done through either Online Warranty Serial No. Tracking system (Service Edge) or Warranty Card and Customer Invoice date.","₹41,695","38,594 Ratings & 7,170 Reviews",4.5,flipkart
15,BOOSTY ES-68 Bayonet Mount LensHood for Canon EF 50mm F/1.8 STM Lens as L-HOODES68  Lens Hood,http://www.flipkart.com/boosty-es-68-bayonet-mount-lenshood-canon-ef-50mm-f-1-8-stm-lens-l-hoodes68-hood/p/itmf8jfqbb7ft2zz?pid=ACCF8G5G3TACVPZ4&lid=LSTACCF8G5G3TACVPZ435ISTE&marketplace=FLIPKART&srno=s_2_25&otracker=search&fm=organic&iid=b398b8b6-e16d-4f75-9dcc-861987f0aaa2.ACCF8G5G3TACVPZ4.SEARCH&ssid=66xycgty6o0000001588506383377&qH=74c9687238a05332,"Shape: Round,Filter Thread Size: 52,Mount Type: Snap-on,Material: Hard Plastic",₹290,342 Ratings & 43 Reviews,3.9,flipkart
16,Odyssey Universal Premium Quality for use in HP/ Canon/ Brother/ Samsung Inkjet Printers 100 ML each x...,http://www.flipkart.com/odyssey-universal-premium-quality-use-hp-canon-brother-samsung-inkjet-printers-100-ml-each-x-4-cmyk-bottles-tri-color-ink-cartridge/p/itmedjrb8b3sgdyg?pid=INKEDJRBEG8YMXHG&lid=LSTINKEDJRBEG8YMXHGFGGRZ2&marketplace=FLIPKART&srno=s_2_26&otracker=search&fm=organic&iid=b398b8b6-e16d-4f75-9dcc-861987f0aaa2.INKEDJRBEG8YMXHG.SEARCH&ssid=66xycgty6o0000001588506383377&qH=74c9687238a05332,"Cartridge Type: Ink Cartridge,Color: Multicolor",₹274,579 Ratings & 110 Reviews,3.7,flipkart
17,Numex (FOR Canon EW-73D Replacement) Photo Lens Hood for Canon EF-S 18-135mm f/3.5-5.6 IS USM Lens  Le...,http://www.flipkart.com/numex-for-canon-ew-73d-replacement-photo-lens-hood-ef-s-18-135mm-f-3-5-5-6-usm/p/itmezgh5sch3sbtf?pid=ACCEZGH5PY5D2GNZ&lid=LSTACCEZGH5PY5D2GNZVU2P93&marketplace=FLIPKART&srno=s_2_27&otracker=search&fm=organic&iid=b398b8b6-e16d-4f75-9dcc-861987f0aaa2.ACCEZGH5PY5D2GNZ.SEARCH&ssid=66xycgty6o0000001588506383377&qH=74c9687238a05332,"Shape: Petal,Filter Thread Size: 138 mm,Mount Type: Bayonet,Material: plastic",₹494,142 Ratings & 20 Reviews,4.2,flipkart
18,"PrintStar 303 for Canon 303/703 / 103 CRG 303 Toner Cartridge for Canon LBP 2900, LBP 2900B,LBP 3000 B...",http://www.flipkart.com/printstar-303-canon-303-703-103-crg-toner-cartridge-lbp-2900-2900b-lbp-3000-black-ink-powder/p/itmexqefbcpdak5g?pid=INKEXPXQG4KBBAKA&lid=LSTINKEXPXQG4KBBAKA5CDXCY&marketplace=FLIPKART&srno=s_2_28&otracker=search&fm=organic&iid=b398b8b6-e16d-4f75-9dcc-861987f0aaa2.INKEXPXQG4KBBAKA.SEARCH&ssid=66xycgty6o0000001588506383377&qH=74c9687238a05332,"Cartridge Type: Ink Toner Powder,Color: Black,Solvent Ink",₹425,624 Ratings & 99 Reviews,4.1,flipkart
19,Omax 58mm UV Filter for Canon EF-S 55 - 250 mm f/4-5.6 IS II UV Filter,http://www.flipkart.com/omax-58mm-uv-filter-canon-ef-s-55-250-mm-f-4-5-6-ii/p/itmdzyf3ydukadfg?pid=ACCDZYF3HQHZEZEM&lid=LSTACCDZYF3HQHZEZEMYEXGFX&marketplace=FLIPKART&srno=s_2_29&otracker=search&fm=organic&iid=b398b8b6-e16d-4f75-9dcc-861987f0aaa2.ACCDZYF3HQHZEZEM.SEARCH&ssid=66xycgty6o0000001588506383377&qH=74c9687238a05332,"UV Filter,Canon EF-S 55 - 250 mm f/4-5.6 IS II,Pack of 1",₹225,"1,660 Ratings & 214 Reviews",4.1,flipkart
20,"PRINTCART Canon Printer Refill Ink 300ml for MG3670, MG2970, iP7270, MG2577, MG3070, MG2570, MG3077, M...",http://www.flipkart.com/printcart-canon-printer-refill-ink-300ml-mg3670-mg2970-ip7270-mg2577-mg3070-mg2570-mg3077-mg2470-mg3170-mp2870-e510-e600-3170-e560-pixma-e-mg-mp-cartridges-tri-color-cartridge/p/itmf86crxkzjzkjc?pid=INKF85YTNPEMHQXT&lid=LSTINKF85YTNPEMHQXTJV4GSX&marketplace=FLIPKART&srno=s_2_30&otracker=search&fm=organic&iid=b398b8b6-e16d-4f75-9dcc-861987f0aaa2.INKF85YTNPEMHQXT.SEARCH&ssid=66xycgty6o0000001588506383377&qH=74c9687238a05332,"Cartridge Type: Ink Cartridge,Color: Multicolor",₹299,499 Ratings & 73 Reviews,3.6,flipkart
21,Canon LP-E8  Battery,http://www.flipkart.com/canon-lp-e8-battery/p/itmfgfy7xxwpp43a?pid=ACCFAG4ZYSHTUGZP&lid=LSTACCFAG4ZYSHTUGZP70ZKP5&marketplace=FLIPKART&srno=s_2_31&otracker=search&fm=organic&iid=b398b8b6-e16d-4f75-9dcc-861987f0aaa2.ACCFAG4ZYSHTUGZP.SEARCH&ssid=66xycgty6o0000001588506383377&qH=74c9687238a05332,"Lithium-ion,Capacity: 1120 mAh,Charging Time: 2 hrs,Color: White,No","₹3,250",41 Ratings & 4 Reviews,3.9,flipkart
22,Canon CANON PIXMA Ink-Tank printers Black Ink Bottle,http://www.flipkart.com/canon-pixma-ink-tank-printers-black-ink-bottle/p/itm8f5dc7a8a2223?pid=INKFKUGZEMKP64MS&lid=LSTINKFKUGZEMKP64MSDUJKML&marketplace=FLIPKART&srno=s_2_32&otracker=search&fm=organic&iid=b398b8b6-e16d-4f75-9dcc-861987f0aaa2.INKFKUGZEMKP64MS.SEARCH&ssid=66xycgty6o0000001588506383377&qH=74c9687238a05332,"Cartridge Type: Ink Bottle,Color: Pigment Black,Page Yield: Upto 7000 pages Pages",₹298,474 Ratings & 62 Reviews,3.9,flipkart
23,Yonkx CARTRIDGE TOOLS Access Point,http://www.flipkart.com/yonkx-cartridge-tools-access-point/p/itmf5gtwhbngcjhk?pid=ACPF5GACPPTZZPRX&lid=LSTACPF5GACPPTZZPRX3R3WZ4&marketplace=FLIPKART&srno=s_2_33&otracker=search&fm=organic&iid=b398b8b6-e16d-4f75-9dcc-861987f0aaa2.ACPF5GACPPTZZPRX.SEARCH&ssid=66xycgty6o0000001588506383377&qH=74c9687238a05332,"0,Without Warranty",₹350,18 Ratings & 1 Reviews,3.9,flipkart
24,Canon E3370 Multi-function Color Printer,http://www.flipkart.com/canon-e3370-multi-function-color-printer/p/itmd5be67d8115ae?pid=PRNFMSFZRUAHGYJZ&lid=LSTPRNFMSFZRUAHGYJZZC2UVY&marketplace=FLIPKART&srno=s_2_34&otracker=search&fm=organic&iid=b398b8b6-e16d-4f75-9dcc-861987f0aaa2.PRNFMSFZRUAHGYJZ.SEARCH&ssid=66xycgty6o0000001588506383377&qH=74c9687238a05332,"Printer: Inkjet,Output: Color,Interface: USB,1 Year Warranty from the Date of Purchase","₹5,199",75 Ratings & 14 Reviews,3.8,flipkart
