,name,link,features,price,rating,avgrating,website
0,"Apple iPhone 11 (White, 128 GB)",http://www.flipkart.com/apple-iphone-11-white-128-gb/p/itm846a8ba21ab11?pid=MOBFKCTS4MZVJ6FJ&lid=LSTMOBFKCTS4MZVJ6FJPY4SUX&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=3dae5590-513d-4161-9e8b-e0daa83b8b15.MOBFKCTS4MZVJ6FJ.SEARCH&ssid=h7yfdc9jlc0000001588570315844&qH=8de575501391c29c,"128 GB ROM |,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year","₹73,600","10,872 Ratings & 949 Reviews",4.7,flipkart
1,"Apple iPhone 7 Plus (Black, 32 GB)",http://www.flipkart.com/apple-iphone-7-plus-black-32-gb/p/itmen6davhyetcwf?pid=MOBEMK6289R7UFQH&lid=LSTMOBEMK6289R7UFQHEIIGH8&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=3dae5590-513d-4161-9e8b-e0daa83b8b15.MOBEMK6289R7UFQH.SEARCH&ssid=h7yfdc9jlc0000001588570315844&qH=8de575501391c29c,"32 GB ROM |,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,iOS 13 Compatible,Brand Warranty of 1 Year","₹36,999","24,196 Ratings & 2,587 Reviews",4.5,flipkart
2,"Apple iPhone 7 (Black, 32 GB)",http://www.flipkart.com/apple-iphone-7-black-32-gb/p/itmen6daftcqwzeg?pid=MOBEMK62PN2HU7EE&lid=LSTMOBEMK62PN2HU7EEINTGNU&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=3dae5590-513d-4161-9e8b-e0daa83b8b15.MOBEMK62PN2HU7EE.SEARCH&ssid=h7yfdc9jlc0000001588570315844&qH=8de575501391c29c,"32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,iOS 13 Compatible,Brand Warranty of 1 Year","₹29,499","86,262 Ratings & 8,704 Reviews",4.5,flipkart
3,"Apple iPhone 11 (Black, 64 GB)",http://www.flipkart.com/apple-iphone-11-black-64-gb/p/itm0f37c2240b217?pid=MOBFKCTSVZAXUHGR&lid=LSTMOBFKCTSVZAXUHGREPBFGI&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=3dae5590-513d-4161-9e8b-e0daa83b8b15.MOBFKCTSVZAXUHGR.SEARCH&ssid=h7yfdc9jlc0000001588570315844&qH=8de575501391c29c,"64 GB ROM |,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year","₹68,300","10,872 Ratings & 949 Reviews",4.7,flipkart
4,"Apple iPhone 11 (White, 64 GB)",http://www.flipkart.com/apple-iphone-11-white-64-gb/p/itm2644c3764fc54?pid=MOBFKCTSHAWGGFHM&lid=LSTMOBFKCTSHAWGGFHMCPQSMX&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=3dae5590-513d-4161-9e8b-e0daa83b8b15.MOBFKCTSHAWGGFHM.SEARCH&ssid=h7yfdc9jlc0000001588570315844&qH=8de575501391c29c,"64 GB ROM |,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year","₹68,300","10,872 Ratings & 949 Reviews",4.7,flipkart
5,"Apple iPhone 6s (Space Grey, 32 GB)",http://www.flipkart.com/apple-iphone-6s-space-grey-32-gb/p/itmen2yyjfzpspyg?pid=MOBEN2YYKU9386TQ&lid=LSTMOBEN2YYKU9386TQTO9DXH&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=3dae5590-513d-4161-9e8b-e0daa83b8b15.MOBEN2YYKU9386TQ.SEARCH&ssid=h7yfdc9jlc0000001588570315844&qH=8de575501391c29c,"32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,Apple A9 64-bit processor and Embedded M9 Motion Co-processor,Brand Warranty of 1 Year","₹24,990","91,391 Ratings & 9,299 Reviews",4.5,flipkart
6,"Apple iPhone 7 Plus (Rose Gold, 32 GB)",http://www.flipkart.com/apple-iphone-7-plus-rose-gold-32-gb/p/itmen6dambqqrxjn?pid=MOBEMK62FPZJUUFE&lid=LSTMOBEMK62FPZJUUFEKD3IED&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=3dae5590-513d-4161-9e8b-e0daa83b8b15.MOBEMK62FPZJUUFE.SEARCH&ssid=h7yfdc9jlc0000001588570315844&qH=8de575501391c29c,"32 GB ROM |,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,iOS 13 Compatible,Brand Warranty of 1 Year","₹36,999","24,196 Ratings & 2,587 Reviews",4.5,flipkart
7,"Apple iPhone 11 (Purple, 64 GB)",http://www.flipkart.com/apple-iphone-11-purple-64-gb/p/itm0bc87f7f6d418?pid=MOBFKCTSBUSRZTQC&lid=LSTMOBFKCTSBUSRZTQCUVCBLN&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=3dae5590-513d-4161-9e8b-e0daa83b8b15.MOBFKCTSBUSRZTQC.SEARCH&ssid=h7yfdc9jlc0000001588570315844&qH=8de575501391c29c,"64 GB ROM |,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year","₹68,300","10,872 Ratings & 949 Reviews",4.7,flipkart
8,"Apple iPhone 8 (Silver, 64 GB)",http://www.flipkart.com/apple-iphone-8-silver-64-gb/p/itmexrgvsw7vedwq?pid=MOBEXRGVRZFCMMYD&lid=LSTMOBEXRGVRZFCMMYDQUOPJH&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=3dae5590-513d-4161-9e8b-e0daa83b8b15.MOBEXRGVRZFCMMYD.SEARCH&ssid=h7yfdc9jlc0000001588570315844&qH=8de575501391c29c,"64 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor,iOS 13 Compatible,Brand Warranty of 1 Year","₹38,999","10,000 Ratings & 731 Reviews",4.5,flipkart
9,"Apple iPhone 7 Plus (Gold, 32 GB)",http://www.flipkart.com/apple-iphone-7-plus-gold-32-gb/p/itmen6daschjypr3?pid=MOBEMK62YVHPH7MV&lid=LSTMOBEMK62YVHPH7MVKD9401&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=3dae5590-513d-4161-9e8b-e0daa83b8b15.MOBEMK62YVHPH7MV.SEARCH&ssid=h7yfdc9jlc0000001588570315844&qH=8de575501391c29c,"32 GB ROM |,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,iOS 13 Compatible,Brand Warranty of 1 Year","₹36,999","24,196 Ratings & 2,587 Reviews",4.5,flipkart
