,name,link,features,price,rating,avgrating,website
0,LeeRooy Black Laptop Bags,https://www.snapdeal.com/product/leerooy-black-laptop-bags/659438026795,,590,,,snapdeal
1,lack Pu Leather Office Laptop Bag With String 15 Inch/Side Bag Cross Bag Men Man Side Bag Gents Bag Men Side Bag One Side Bag Men Carry Bag Men,https://www.snapdeal.com/product/unbranded-hard-file-bag-black/683879103748,,704,70,4.10,snapdeal
2,"House Of Quirk Black Laptop Bag AntiTheft Water Resistant Travel Backpack Suitable for Laptop, Camera, College Bag",https://www.snapdeal.com/product/house-of-quirk-black-laptop/683679816378,,990,30,3.70,snapdeal
3,Leather Gifts up to 17 inch laptop Tan P.U. Office Bag,https://www.snapdeal.com/product/leather-gifts-lg1125-tan-nylon/678610706511,,1249,22,4.30,snapdeal
4,YNA Black P.U Leather Office Laptop Bag With String 15 Inch/Side Bag Cross Bag Men Man Side Bag Gents Bag Men Side Bag One Side Bag Men Carry Bag Men,https://www.snapdeal.com/product/yna-black-pu-office-bag/680068581220,,612,85,4.00,snapdeal
5,Fly Fashion 15.9 inch laptop Tan Leather Office Bag,https://www.snapdeal.com/product/fly-fashion-fly1128-tan-pu/621792606492,,1299,55,4.20,snapdeal
6,LeeRooy Grey Laptop Bags,https://www.snapdeal.com/product/leerooy-grey-laptop-bags/680100975462,,1112,,,snapdeal
7,Westery Black Laptop Bags,https://www.snapdeal.com/product/westery-black-laptop-bags/661729778610,,642,,,snapdeal
8,Other Manufacturer Blue Laptop Bags,https://www.snapdeal.com/product/other-manufacturer-blue-laptop-bags/626537227307,,889,,,snapdeal
9,Leather World pu laptop office bag Brown P.U. Office Bag,https://www.snapdeal.com/product/leather-world-brown-pu-office/646639862780,,999,14,3.90,snapdeal
10,Wulfpack Black Laptop Bags,https://www.snapdeal.com/product/wulfpack-black-laptop-bags/639084980763,,525,,,snapdeal
11,Lazaro Red Laptop Bags,https://www.snapdeal.com/product/lazaro-red-laptop-bags/621475602985,,1199,,,snapdeal
12,Alee Black Laptop Bags,https://www.snapdeal.com/product/alee-black-laptop-bags/634779037939,,649,3,3.70,snapdeal
13,Leather Gifts Laptop Brown P.U. Office Bag,https://www.snapdeal.com/product/leather-gifts-office-selling-bag/682673801824,,1149,125,3.90,snapdeal
14,armaan khan designs Blue Laptop Cases,https://www.snapdeal.com/product/armaan-khan-designs-blue-laptop/619819713437,,450,,,snapdeal
15,ZIEST Black Laptop Bags,https://www.snapdeal.com/product/ziest-black-laptop-bags/623447441034,,2300,,,snapdeal
16,xzoom Grey Laptop Bags,https://www.snapdeal.com/product/xzoom-grey-laptop-bags/627416205985,,833,,,snapdeal
17,Wulfpack Blue Laptop Bags,https://www.snapdeal.com/product/wulfpack-blue-laptop-bags/670109831262,,539,,,snapdeal
18,Venue Brown P.U Leather Office Laptop Bag With String 15 Inch/Side Bag Cross Bag Men Man Side Bag Gents Bag Men Side Bag One Side Bag Men Carry Bag Men,https://www.snapdeal.com/product/venue-brown-pu-office-bag/677363799104,,955,8,4.40,snapdeal
19,Istorm Khaki Laptop Bags,https://www.snapdeal.com/product/istorm-khaki-laptop-bags/660385662954,,1499,,,snapdeal
