,name,link,features,price,rating,avgrating,website
0,"Redmi 8 (Onyx Black, 64 GB)",http://www.flipkart.com/redmi-8-onyx-black-64-gb/p/itm74a5b975b3bdf?pid=MOBFKPYDZJQHGJXA&lid=LSTMOBFKPYDZJQHGJXA5X8Q5G&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=5d677591-2e1d-4d4a-b4ff-f8339203b527.MOBFKPYDZJQHGJXA.SEARCH&ssid=zf53y36s280000001588913266745&qH=eb4af0bf07c16429,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",8999,"4,67,192 Ratings & 38,803 Reviews",4.4,flipkart
1,"Realme C3 (Frozen Blue, 32 GB)",http://www.flipkart.com/realme-c3-frozen-blue-32-gb/p/itm58bf81a807d66?pid=MOBFZHC5HAGKGBBW&lid=LSTMOBFZHC5HAGKGBBWJH2HLH&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=5d677591-2e1d-4d4a-b4ff-f8339203b527.MOBFZHC5HAGKGBBW.SEARCH&ssid=zf53y36s280000001588913266745&qH=eb4af0bf07c16429,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",7499,"30,920 Ratings & 3,078 Reviews",4.4,flipkart
2,"Realme C3 (Blazing Red, 32 GB)",http://www.flipkart.com/realme-c3-blazing-red-32-gb/p/itm58bf81a807d66?pid=MOBFZHC5ZGPA8PHH&lid=LSTMOBFZHC5ZGPA8PHHCRJEZ3&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=5d677591-2e1d-4d4a-b4ff-f8339203b527.MOBFZHC5ZGPA8PHH.SEARCH&ssid=zf53y36s280000001588913266745&qH=eb4af0bf07c16429,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",7499,"30,920 Ratings & 3,078 Reviews",4.4,flipkart
3,"Realme 5i (Aqua Blue, 64 GB)",http://www.flipkart.com/realme-5i-aqua-blue-64-gb/p/itmdac0da867a9fa?pid=MOBFNG3GZXCV63BE&lid=LSTMOBFNG3GZXCV63BEMPJERT&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=5d677591-2e1d-4d4a-b4ff-f8339203b527.MOBFNG3GZXCV63BE.SEARCH&ssid=zf53y36s280000001588913266745&qH=eb4af0bf07c16429,"4 GB RAM | 64 GB ROM |,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 2 GHz Processor,Sunrise Design,Reverse Charging,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",9999,"1,41,152 Ratings & 10,970 Reviews",4.4,flipkart
4,"Realme 5i (Forest Green, 64 GB)",http://www.flipkart.com/realme-5i-forest-green-64-gb/p/itmdac0da867a9fa?pid=MOBFNG3GNW3BU2XE&lid=LSTMOBFNG3GNW3BU2XERAL9TG&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=5d677591-2e1d-4d4a-b4ff-f8339203b527.MOBFNG3GNW3BU2XE.SEARCH&ssid=zf53y36s280000001588913266745&qH=eb4af0bf07c16429,"4 GB RAM | 64 GB ROM |,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 2 GHz Processor,Sunrise Design,Reverse Charging,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",9999,"1,41,152 Ratings & 10,970 Reviews",4.4,flipkart
5,"Redmi 8 (Ruby Red, 64 GB)",http://www.flipkart.com/redmi-8-ruby-red-64-gb/p/itmef9ed5039fca6?pid=MOBFKPYDCVSCZBYR&lid=LSTMOBFKPYDCVSCZBYRIZZUTP&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=5d677591-2e1d-4d4a-b4ff-f8339203b527.MOBFKPYDCVSCZBYR.SEARCH&ssid=zf53y36s280000001588913266745&qH=eb4af0bf07c16429,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",8999,"4,67,192 Ratings & 38,803 Reviews",4.4,flipkart
6,"Redmi 8 (Sapphire Blue, 64 GB)",http://www.flipkart.com/redmi-8-sapphire-blue-64-gb/p/itm7efbaeb38bf94?pid=MOBFKPYDENDXZZ7U&lid=LSTMOBFKPYDENDXZZ7U9TT5NP&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=5d677591-2e1d-4d4a-b4ff-f8339203b527.MOBFKPYDENDXZZ7U.SEARCH&ssid=zf53y36s280000001588913266745&qH=eb4af0bf07c16429,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",8999,"4,67,192 Ratings & 38,803 Reviews",4.4,flipkart
7,"Realme C3 (Frozen Blue, 64 GB)",http://www.flipkart.com/realme-c3-frozen-blue-64-gb/p/itm58bf81a807d66?pid=MOBFZHC5QRBG2BSR&lid=LSTMOBFZHC5QRBG2BSRYU9DNF&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=5d677591-2e1d-4d4a-b4ff-f8339203b527.MOBFZHC5QRBG2BSR.SEARCH&ssid=zf53y36s280000001588913266745&qH=eb4af0bf07c16429,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",8499,"35,779 Ratings & 3,423 Reviews",4.4,flipkart
8,"Realme C2 (Diamond Blue, 32 GB)",http://www.flipkart.com/realme-c2-diamond-blue-32-gb/p/itmfgwba8kmejqpe?pid=MOBFHBZ4ZQB3CTZW&lid=LSTMOBFHBZ4ZQB3CTZWY5COWP&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=5d677591-2e1d-4d4a-b4ff-f8339203b527.MOBFHBZ4ZQB3CTZW.SEARCH&ssid=zf53y36s280000001588913266745&qH=eb4af0bf07c16429,"2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,Dual Nano SIM slots and Memory Card Slot,Face Unlock,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",6499,"7,33,229 Ratings & 63,150 Reviews",4.4,flipkart
9,"Redmi 8 (Emerald Green, 64 GB)",http://www.flipkart.com/redmi-8-emerald-green-64-gb/p/itm5701cf73cbe1a?pid=MOBFKPYDTSZ8SFHH&lid=LSTMOBFKPYDTSZ8SFHH7DBBDS&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=5d677591-2e1d-4d4a-b4ff-f8339203b527.MOBFKPYDTSZ8SFHH.SEARCH&ssid=zf53y36s280000001588913266745&qH=eb4af0bf07c16429,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",8999,"4,67,192 Ratings & 38,803 Reviews",4.4,flipkart
