,name,link,features,price,rating,avgrating,website
0,"OPPO A7 (Glaring Gold, 64 GB)",http://www.flipkart.com/oppo-a7-glaring-gold-64-gb/p/itmfb37gqa44nrzq?pid=MOBFB37G2GV8TZJY&lid=LSTMOBFB37G2GV8TZJYOVLRGE&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=810e397c-9f79-4091-b7b7-fbccadb762ce.MOBFB37G2GV8TZJY.SEARCH&ssid=sebzvlwjj40000001588505211610&qH=c892ba238c98835d,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 16MP Front Camera,4230 mAh Battery,Qualcomm Snapdragon 450 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories","₹10,990","13,434 Ratings & 1,010 Reviews",4.4,flipkart
1,"OPPO F11 Pro (Thunder Black, 64 GB)",http://www.flipkart.com/oppo-f11-pro-thunder-black-64-gb/p/itmfe6k2gurv2a3p?pid=MOBFE6K2KQDSWAM8&lid=LSTMOBFE6K2KQDSWAM8CY2ZL4&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=810e397c-9f79-4091-b7b7-fbccadb762ce.MOBFE6K2KQDSWAM8.SEARCH&ssid=sebzvlwjj40000001588505211610&qH=c892ba238c98835d,"6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 5MP | 16MP Front Camera,4000 mAh Li-polymer Battery,MediaTek Helio P70 Octa Core 2.1 GHz Processor,VOOC Charging,Pop-up Camera,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹16,990","1,11,160 Ratings & 10,777 Reviews",4.4,flipkart
2,"OPPO A7 (Glaze Blue, 64 GB)",http://www.flipkart.com/oppo-a7-glaze-blue-64-gb/p/itmfb37gqa44nrzq?pid=MOBFB37GDP8NJYXS&lid=LSTMOBFB37GDP8NJYXSQT7TY3&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=810e397c-9f79-4091-b7b7-fbccadb762ce.MOBFB37GDP8NJYXS.SEARCH&ssid=sebzvlwjj40000001588505211610&qH=c892ba238c98835d,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 16MP Front Camera,4230 mAh Battery,Qualcomm Snapdragon 450 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories","₹10,990","13,434 Ratings & 1,010 Reviews",4.4,flipkart
3,"OPPO F15 (Unicorn White, 128 GB)",http://www.flipkart.com/oppo-f15-unicorn-white-128-gb/p/itm56d35565691ea?pid=MOBFNSUQUVAQX7Z5&lid=LSTMOBFNSUQUVAQX7Z5PSQUB3&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=810e397c-9f79-4091-b7b7-fbccadb762ce.MOBFNSUQUVAQX7Z5.SEARCH&ssid=sebzvlwjj40000001588505211610&qH=c892ba238c98835d,"8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4000 mAh Battery,Helio P70 Processor,VOOC Flash Charge 3.0 with 20W Fast Charging,In-Display Fingerprint 3.0 with 0.32 Second Unlock,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories","₹21,990","4,855 Ratings & 492 Reviews",4.4,flipkart
4,"OPPO A31 (Fantasy White, 64 GB)",http://www.flipkart.com/oppo-a31-fantasy-white-64-gb/p/itm82e19f459118a?pid=MOBFPBD67MFNGTHM&lid=LSTMOBFPBD67MFNGTHMBD7BNP&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=810e397c-9f79-4091-b7b7-fbccadb762ce.MOBFPBD67MFNGTHM.SEARCH&ssid=sebzvlwjj40000001588505211610&qH=c892ba238c98835d,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 ((MT6765V/CB) (4 x Cortex-A53L + 4 x Cortex-A53LL) 12 nm 64-bit Processor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories","₹12,490",204 Ratings & 18 Reviews,4.4,flipkart
5,"OPPO A31 (Mystery Black, 64 GB)",http://www.flipkart.com/oppo-a31-mystery-black-64-gb/p/itm82e19f459118a?pid=MOBFPBD73QS7DUSD&lid=LSTMOBFPBD73QS7DUSDPSHC6F&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=810e397c-9f79-4091-b7b7-fbccadb762ce.MOBFPBD73QS7DUSD.SEARCH&ssid=sebzvlwjj40000001588505211610&qH=c892ba238c98835d,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 ((MT6765V/CB) (4 x Cortex-A53L + 4 x Cortex-A53LL) 12 nm 64-bit Processor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories","₹12,490",204 Ratings & 18 Reviews,4.4,flipkart
6,"OPPO A5 2020 (Dazzling White, 64 GB)",http://www.flipkart.com/oppo-a5-2020-dazzling-white-64-gb/p/itm760f1b7b484f0?pid=MOBFKCS5VHUM2BQB&lid=LSTMOBFKCS5VHUM2BQBOHZPBB&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=810e397c-9f79-4091-b7b7-fbccadb762ce.MOBFKCS5VHUM2BQB.SEARCH&ssid=sebzvlwjj40000001588505211610&qH=c892ba238c98835d,"4 GB RAM | 64 GB ROM |,16.51 cm (6.5 inch) Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹13,990","3,550 Ratings & 270 Reviews",4.4,flipkart
7,"OPPO F11 Pro (Aurora Green, 64 GB)",http://www.flipkart.com/oppo-f11-pro-aurora-green-64-gb/p/itmfe6k2gurv2a3p?pid=MOBFE6KFGD6YT27Z&lid=LSTMOBFE6KFGD6YT27ZCHQH7H&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=810e397c-9f79-4091-b7b7-fbccadb762ce.MOBFE6KFGD6YT27Z.SEARCH&ssid=sebzvlwjj40000001588505211610&qH=c892ba238c98835d,"6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 5MP | 16MP Front Camera,4000 mAh Li-polymer Battery,MediaTek Helio P70 Octa Core 2.1 GHz Processor,VOOC Charging,Pop-up Camera,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹16,890","1,11,160 Ratings & 10,777 Reviews",4.4,flipkart
8,"OPPO F11 Pro (Thunder Black, 128 GB)",http://www.flipkart.com/oppo-f11-pro-thunder-black-128-gb/p/itmfe6k2gurv2a3p?pid=MOBFG9WZ3D5KMAUX&lid=LSTMOBFG9WZ3D5KMAUX5XFFCC&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=810e397c-9f79-4091-b7b7-fbccadb762ce.MOBFG9WZ3D5KMAUX.SEARCH&ssid=sebzvlwjj40000001588505211610&qH=c892ba238c98835d,"6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 5MP | 16MP Front Camera,4000 mAh Li-polymer Battery,MediaTek Helio P70 Octa Core 2.1 GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹17,990","1,11,160 Ratings & 10,777 Reviews",4.4,flipkart
9,"OPPO A5 2020 (Dazzling White, 64 GB)",http://www.flipkart.com/oppo-a5-2020-dazzling-white-64-gb/p/itm44cc5daff0ba1?pid=MOBFKCS5KRNP5ZGG&lid=LSTMOBFKCS5KRNP5ZGGUE7XGV&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=810e397c-9f79-4091-b7b7-fbccadb762ce.MOBFKCS5KRNP5ZGG.SEARCH&ssid=sebzvlwjj40000001588505211610&qH=c892ba238c98835d,"3 GB RAM | 64 GB ROM |,16.51 cm (6.5 inch) Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹12,490","1,802 Ratings & 148 Reviews",4.4,flipkart
