,name,link,features,price,rating,avgrating,website
0,"Redmi 8 (Onyx Black, 64 GB)",http://www.flipkart.com/redmi-8-onyx-black-64-gb/p/itm74a5b975b3bdf?pid=MOBFKPYDZJQHGJXA&lid=LSTMOBFKPYDZJQHGJXA5X8Q5G&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFKPYDZJQHGJXA.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹8,999","4,63,002 Ratings & 38,626 Reviews",4.4,flipkart
1,"Redmi 8 (Emerald Green, 64 GB)",http://www.flipkart.com/redmi-8-emerald-green-64-gb/p/itm5701cf73cbe1a?pid=MOBFKPYDTSZ8SFHH&lid=LSTMOBFKPYDTSZ8SFHHCHXWZT&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFKPYDTSZ8SFHH.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹8,999","4,63,002 Ratings & 38,626 Reviews",4.4,flipkart
2,"Redmi 8 (Ruby Red, 64 GB)",http://www.flipkart.com/redmi-8-ruby-red-64-gb/p/itmef9ed5039fca6?pid=MOBFKPYDCVSCZBYR&lid=LSTMOBFKPYDCVSCZBYRIZZUTP&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFKPYDCVSCZBYR.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹8,999","4,63,002 Ratings & 38,626 Reviews",4.4,flipkart
3,"Redmi 8 (Sapphire Blue, 64 GB)",http://www.flipkart.com/redmi-8-sapphire-blue-64-gb/p/itm7efbaeb38bf94?pid=MOBFKPYDENDXZZ7U&lid=LSTMOBFKPYDENDXZZ7U9TT5NP&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFKPYDENDXZZ7U.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹8,999","4,63,002 Ratings & 38,626 Reviews",4.4,flipkart
4,"Redmi 8A (Midnight Black, 32 GB)",http://www.flipkart.com/redmi-8a-midnight-black-32-gb/p/itme2e12a5859993?pid=MOBFKF98FFAAY8EB&lid=LSTMOBFKF98FFAAY8EBS8FFCJ&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFKF98FFAAY8EB.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹6,999","1,20,047 Ratings & 9,189 Reviews",4.4,flipkart
5,"Redmi 8A (Ocean Blue, 32 GB)",http://www.flipkart.com/redmi-8a-ocean-blue-32-gb/p/itmeeddf84c49585?pid=MOBFKF98ZVHXHUEP&lid=LSTMOBFKF98ZVHXHUEPBOY0ET&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFKF98ZVHXHUEP.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹7,499","1,09,793 Ratings & 9,018 Reviews",4.4,flipkart
6,"Redmi 8A (Sunset Red, 32 GB)",http://www.flipkart.com/redmi-8a-sunset-red-32-gb/p/itme8b392d46394f?pid=MOBFKF987VGBEP4X&lid=LSTMOBFKF987VGBEP4XWPCXLY&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFKF987VGBEP4X.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹7,499","1,09,793 Ratings & 9,018 Reviews",4.4,flipkart
7,"Redmi 8A (Ocean Blue, 32 GB)",http://www.flipkart.com/redmi-8a-ocean-blue-32-gb/p/itm1f8d1cbb1d232?pid=MOBFKF98BHTYSAHZ&lid=LSTMOBFKF98BHTYSAHZCWZX8V&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFKF98BHTYSAHZ.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹6,999","1,20,047 Ratings & 9,189 Reviews",4.4,flipkart
8,"Redmi Note 8 Pro (Electric Blue, 64 GB)",http://www.flipkart.com/redmi-note-8-pro-electric-blue-64-gb/p/itm3dc87f8221660?pid=MOBFNF3T9ZXGBZZU&lid=LSTMOBFNF3T9ZXGBZZU0FYKNV&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFNF3T9ZXGBZZU.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"6 GB RAM | 64 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹16,900",480 Ratings & 38 Reviews,4.5,flipkart
9,"Redmi Note 8 (Neptune Blue, 64 GB)",http://www.flipkart.com/redmi-note-8-neptune-blue-64-gb/p/itm16c6c50702ff1?pid=MOBFHFFSG69TGSXQ&lid=LSTMOBFHFFSG69TGSXQBLYQGP&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFHFFSG69TGSXQ.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹11,922","10,319 Ratings & 749 Reviews",4.4,flipkart
10,"Redmi Note 8 (Moonlight White, 64 GB)",http://www.flipkart.com/redmi-note-8-moonlight-white-64-gb/p/itm16c6c50702ff1?pid=MOBFHGTKYGZBXNGK&lid=LSTMOBFHGTKYGZBXNGKI3IQZF&marketplace=FLIPKART&srno=s_1_11&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFHGTKYGZBXNGK.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹12,911","10,319 Ratings & 749 Reviews",4.4,flipkart
11,"Redmi Note 8 (Cosmic Purple, 128 GB)",http://www.flipkart.com/redmi-note-8-cosmic-purple-128-gb/p/itm16c6c50702ff1?pid=MOBFN29D7AG4RPZE&lid=LSTMOBFN29D7AG4RPZEUNFD2Z&marketplace=FLIPKART&srno=s_1_12&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFN29D7AG4RPZE.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Display,48MP Rear Camera | 13MP Front Camera,4000 mAh Battery,1 year","₹14,699","7,674 Ratings & 639 Reviews",4.4,flipkart
12,"Redmi Note 8 (Cosmic Purple, 64 GB)",http://www.flipkart.com/redmi-note-8-cosmic-purple-64-gb/p/itmf9758349ff6ba?pid=MOBFNY8Z8RZXUTA2&lid=LSTMOBFNY8Z8RZXUTA2BC3V3T&marketplace=FLIPKART&srno=s_1_13&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFNY8Z8RZXUTA2.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Display,48MP Rear Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹12,499","10,319 Ratings & 749 Reviews",4.4,flipkart
13,"Redmi Note 8 (Space Black, 64 GB)",http://www.flipkart.com/redmi-note-8-space-black-64-gb/p/itm16c6c50702ff1?pid=MOBFHFFSMVQJYYWY&lid=LSTMOBFHFFSMVQJYYWYUFQWVP&marketplace=FLIPKART&srno=s_1_14&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFHFFSMVQJYYWY.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹11,990","10,319 Ratings & 749 Reviews",4.4,flipkart
14,"Redmi 8A Dual (Sea Blue, 32 GB)",http://www.flipkart.com/redmi-8a-dual-sea-blue-32-gb/p/itmf5568beb3c3a5?pid=MOBFP73ZM26XEYZQ&lid=LSTMOBFP73ZM26XEYZQLL6HUI&marketplace=FLIPKART&srno=s_1_15&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFP73ZM26XEYZQ.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Dual Front Camera,5000 mAh Battery,Snapdragon 439 octa core processor Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹7,999",182 Ratings & 17 Reviews,4.3,flipkart
15,"Redmi 8A Dual (Sea Blue, 32 GB)",http://www.flipkart.com/redmi-8a-dual-sea-blue-32-gb/p/itmf5568beb3c3a5?pid=MOBFP764TNKZRSB8&lid=LSTMOBFP764TNKZRSB8P4YTOY&marketplace=FLIPKART&srno=s_1_16&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFP764TNKZRSB8.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Dual Front Camera,5000 mAh Battery,Snapdragon 439 octa core processor Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹7,479",44 Ratings & 2 Reviews,4.4,flipkart
16,"Redmi 8A Dual (Midnight Grey, 32 GB)",http://www.flipkart.com/redmi-8a-dual-midnight-grey-32-gb/p/itmf5568beb3c3a5?pid=MOBFP7655HZQ6ZKD&lid=LSTMOBFP7655HZQ6ZKDDKWFH9&marketplace=FLIPKART&srno=s_1_17&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFP7655HZQ6ZKD.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Dual Front Camera,5000 mAh Battery,Snapdragon 439 octa core processor Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹7,499",44 Ratings & 2 Reviews,4.4,flipkart
17,"Redmi 8A Dual (Midnight Grey, 32 GB)",http://www.flipkart.com/redmi-8a-dual-midnight-grey-32-gb/p/itmf5568beb3c3a5?pid=MOBFP7YHGWCPXUDH&lid=LSTMOBFP7YHGWCPXUDHMWTMXH&marketplace=FLIPKART&srno=s_1_18&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFP7YHGWCPXUDH.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Dual Front Camera,5000 mAh Battery,Snapdragon 439 octa core processor Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹7,999",182 Ratings & 17 Reviews,4.3,flipkart
18,"Redmi Note 8 (Neptune Blue, 128 GB)",http://www.flipkart.com/redmi-note-8-neptune-blue-128-gb/p/itm16c6c50702ff1?pid=MOBFHGTDVHK5CFG5&lid=LSTMOBFHGTDVHK5CFG5AWVEWC&marketplace=FLIPKART&srno=s_1_19&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFHGTDVHK5CFG5.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹13,900","7,674 Ratings & 639 Reviews",4.4,flipkart
19,"Redmi Note 8 (Space Black, 128 GB)",http://www.flipkart.com/redmi-note-8-space-black-128-gb/p/itm16c6c50702ff1?pid=MOBFHHQRQF2A4PS2&lid=LSTMOBFHHQRQF2A4PS2LSX3DP&marketplace=FLIPKART&srno=s_1_20&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFHHQRQF2A4PS2.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹13,800","7,674 Ratings & 639 Reviews",4.4,flipkart
20,"Redmi 8A (Sunset Red, 32 GB)",http://www.flipkart.com/redmi-8a-sunset-red-32-gb/p/itm5474ed67d23bf?pid=MOBFKF98FTTEN832&lid=LSTMOBFKF98FTTEN832NKEHTF&marketplace=FLIPKART&srno=s_1_21&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFKF98FTTEN832.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹6,999","1,20,047 Ratings & 9,189 Reviews",4.4,flipkart
21,"Redmi 8A Dual (Sky White, 32 GB)",http://www.flipkart.com/redmi-8a-dual-sky-white-32-gb/p/itmf5568beb3c3a5?pid=MOBFP7FMS6GNPQFY&lid=LSTMOBFP7FMS6GNPQFY2VBMVB&marketplace=FLIPKART&srno=s_1_22&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFP7FMS6GNPQFY.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Dual Front Camera,5000 mAh Battery,Snapdragon 439 octa core processor Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹7,994",182 Ratings & 17 Reviews,4.3,flipkart
22,"Redmi Note 8 (Moonlight White, 128 GB)",http://www.flipkart.com/redmi-note-8-moonlight-white-128-gb/p/itm16c6c50702ff1?pid=MOBFHGTKWVZGCYGN&lid=LSTMOBFHGTKWVZGCYGNOBQDC7&marketplace=FLIPKART&srno=s_1_23&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFHGTKWVZGCYGN.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹13,999","7,674 Ratings & 639 Reviews",4.4,flipkart
23,"Redmi 8A Dual (Sky White, 32 GB)",http://www.flipkart.com/redmi-8a-dual-sky-white-32-gb/p/itmf5568beb3c3a5?pid=MOBFP7YMYFDPZVZJ&lid=LSTMOBFP7YMYFDPZVZJYP3W0M&marketplace=FLIPKART&srno=s_1_24&otracker=search&fm=organic&iid=878a3ada-710b-4770-afc9-5aa07ab9dd50.MOBFP7YMYFDPZVZJ.SEARCH&ssid=cf3dea3ruo0000001588572162400&qH=4f3fe32abd324fa4,"2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Dual Front Camera,5000 mAh Battery,Snapdragon 439 octa core processor Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹7,479",44 Ratings & 2 Reviews,4.4,flipkart
24,"Redmi Note 7 Pro (Nebula Red, 64 GB)",http://www.flipkart.com/redmi-note-7-pro-nebula-red-64-gb/p/itmfhuq4xscxhjud?pid=MOBFHUQ4XG4HZ4SH&lid=LSTMOBFHUQ4XG4HZ4SHISDCF1&marketplace=FLIPKART&srno=s_2_25&otracker=search&fm=organic&iid=943da637-4458-44b7-925d-5ce48277d633.MOBFHUQ4XG4HZ4SH.SEARCH&ssid=t87er8eg8w0000001588572163832&qH=4f3fe32abd324fa4,"6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,Splash Proof - Protected by P2i,Quick Charge 4.0 Support,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹12,999","2,54,877 Ratings & 21,673 Reviews",4.5,flipkart
25,"Redmi 7A (Matte Black, 32 GB)",http://www.flipkart.com/redmi-7a-matte-black-32-gb/p/itmfhz4cm2yz93xx?pid=MOBFHZ4BRKSMDXH7&lid=LSTMOBFHZ4BRKSMDXH7XKB6YB&marketplace=FLIPKART&srno=s_2_26&otracker=search&fm=organic&iid=943da637-4458-44b7-925d-5ce48277d633.MOBFHZ4BRKSMDXH7.SEARCH&ssid=t87er8eg8w0000001588572163832&qH=4f3fe32abd324fa4,"2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li-Polymer Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 2 Years Available for Mobile and 6 Months for Accessories","₹6,699","3,51,226 Ratings & 26,636 Reviews",4.3,flipkart
26,"Redmi Go (Blue, 16 GB)",http://www.flipkart.com/redmi-go-blue-16-gb/p/itmfgqsaszhhyyy6?pid=MOBFGQSAQYYGFNSB&lid=LSTMOBFGQSAQYYGFNSBSJBVZ2&marketplace=FLIPKART&srno=s_2_27&otracker=search&fm=organic&iid=943da637-4458-44b7-925d-5ce48277d633.MOBFGQSAQYYGFNSB.SEARCH&ssid=t87er8eg8w0000001588572163832&qH=4f3fe32abd324fa4,"1 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Li Polymer Battery,Qualcomm Snapdragon 425 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹4,999","1,54,941 Ratings & 12,767 Reviews",4.3,flipkart
27,"Redmi Note 7 Pro (Nebula Red, 128 GB)",http://www.flipkart.com/redmi-note-7-pro-nebula-red-128-gb/p/itmffyqg5qhzzh4z?pid=MOBFDXZ3TYYTK3UT&lid=LSTMOBFDXZ3TYYTK3UTK2S3OP&marketplace=FLIPKART&srno=s_2_28&otracker=search&fm=organic&iid=943da637-4458-44b7-925d-5ce48277d633.MOBFDXZ3TYYTK3UT.SEARCH&ssid=t87er8eg8w0000001588572163832&qH=4f3fe32abd324fa4,"6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,Splash Proof - Protected by P2i,Quick Charge 4.0 Support,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹13,999","2,54,877 Ratings & 21,673 Reviews",4.5,flipkart
28,"Redmi 7A (Matte Blue, 32 GB)",http://www.flipkart.com/redmi-7a-matte-blue-32-gb/p/itmfhz4cztznu8kk?pid=MOBFHZ4BZW2GM6UH&lid=LSTMOBFHZ4BZW2GM6UHFKVO3U&marketplace=FLIPKART&srno=s_2_29&otracker=search&fm=organic&iid=943da637-4458-44b7-925d-5ce48277d633.MOBFHZ4BZW2GM6UH.SEARCH&ssid=t87er8eg8w0000001588572163832&qH=4f3fe32abd324fa4,"2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li-Polymer Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 2 Years Available for Mobile and 6 Months for Accessories","₹6,699","3,51,226 Ratings & 26,636 Reviews",4.3,flipkart
