,name,link,features,price,rating,avgrating,website
0,"Redmi 8 (Onyx Black, 64 GB)",http://www.flipkart.com/redmi-8-onyx-black-64-gb/p/itm74a5b975b3bdf?pid=MOBFKPYDZJQHGJXA&lid=LSTMOBFKPYDZJQHGJXA5X8Q5G&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=b750c876-dd34-43a7-8c95-d7ee9e26c241.MOBFKPYDZJQHGJXA.SEARCH&ssid=sokq0hvttc0000001588503826841&qH=f1067e7173c7b9e6,,"₹8,999","(4,62,893)",4.4,flipkart
1,"Redmi 8 (Emerald Green, 64 GB)",http://www.flipkart.com/redmi-8-emerald-green-64-gb/p/itm5701cf73cbe1a?pid=MOBFKPYDTSZ8SFHH&lid=LSTMOBFKPYDTSZ8SFHHCHXWZT&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=b750c876-dd34-43a7-8c95-d7ee9e26c241.MOBFKPYDTSZ8SFHH.SEARCH&ssid=sokq0hvttc0000001588503826841&qH=f1067e7173c7b9e6,,"₹8,999","(4,62,893)",4.4,flipkart
2,"Redmi 8 (Ruby Red, 64 GB)",http://www.flipkart.com/redmi-8-ruby-red-64-gb/p/itmef9ed5039fca6?pid=MOBFKPYDCVSCZBYR&lid=LSTMOBFKPYDCVSCZBYRIZZUTP&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=b750c876-dd34-43a7-8c95-d7ee9e26c241.MOBFKPYDCVSCZBYR.SEARCH&ssid=sokq0hvttc0000001588503826841&qH=f1067e7173c7b9e6,,"₹8,999","(4,62,893)",4.4,flipkart
3,"Redmi 8 (Sapphire Blue, 64 GB)",http://www.flipkart.com/redmi-8-sapphire-blue-64-gb/p/itm7efbaeb38bf94?pid=MOBFKPYDENDXZZ7U&lid=LSTMOBFKPYDENDXZZ7U9TT5NP&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=b750c876-dd34-43a7-8c95-d7ee9e26c241.MOBFKPYDENDXZZ7U.SEARCH&ssid=sokq0hvttc0000001588503826841&qH=f1067e7173c7b9e6,,"₹8,999","(4,62,893)",4.4,flipkart
4,"Redmi 8A (Midnight Black, 32 GB)",http://www.flipkart.com/redmi-8a-midnight-black-32-gb/p/itme2e12a5859993?pid=MOBFKF98FFAAY8EB&lid=LSTMOBFKF98FFAAY8EBS8FFCJ&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=b750c876-dd34-43a7-8c95-d7ee9e26c241.MOBFKF98FFAAY8EB.SEARCH&ssid=sokq0hvttc0000001588503826841&qH=f1067e7173c7b9e6,,"₹6,999","(1,20,020)",4.4,flipkart
5,"Redmi 8A (Ocean Blue, 32 GB)",http://www.flipkart.com/redmi-8a-ocean-blue-32-gb/p/itmeeddf84c49585?pid=MOBFKF98ZVHXHUEP&lid=LSTMOBFKF98ZVHXHUEPBOY0ET&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=b750c876-dd34-43a7-8c95-d7ee9e26c241.MOBFKF98ZVHXHUEP.SEARCH&ssid=sokq0hvttc0000001588503826841&qH=f1067e7173c7b9e6,,"₹7,499","(1,09,766)",4.4,flipkart
6,"Redmi 8A (Sunset Red, 32 GB)",http://www.flipkart.com/redmi-8a-sunset-red-32-gb/p/itme8b392d46394f?pid=MOBFKF987VGBEP4X&lid=LSTMOBFKF987VGBEP4XWPCXLY&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=b750c876-dd34-43a7-8c95-d7ee9e26c241.MOBFKF987VGBEP4X.SEARCH&ssid=sokq0hvttc0000001588503826841&qH=f1067e7173c7b9e6,,"₹7,499","(1,09,766)",4.4,flipkart
7,"Redmi Note 7S (Sapphire Blue, 64 GB)",http://www.flipkart.com/redmi-note-7s-sapphire-blue-64-gb/p/itmfh75f4rhcjdfk?pid=MOBFGGJ8CKGVHHZU&lid=LSTMOBFGGJ8CKGVHHZULJU9WG&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=b750c876-dd34-43a7-8c95-d7ee9e26c241.MOBFGGJ8CKGVHHZU.SEARCH&ssid=sokq0hvttc0000001588503826841&qH=f1067e7173c7b9e6,,"₹11,999","(3,89,386)",4.4,flipkart
8,"Redmi 8A (Ocean Blue, 32 GB)",http://www.flipkart.com/redmi-8a-ocean-blue-32-gb/p/itm1f8d1cbb1d232?pid=MOBFKF98BHTYSAHZ&lid=LSTMOBFKF98BHTYSAHZCWZX8V&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=b750c876-dd34-43a7-8c95-d7ee9e26c241.MOBFKF98BHTYSAHZ.SEARCH&ssid=sokq0hvttc0000001588503826841&qH=f1067e7173c7b9e6,,"₹6,999","(1,20,020)",4.4,flipkart
9,"Redmi Note 7 Pro (Neptune Blue, 128 GB)",http://www.flipkart.com/redmi-note-7-pro-neptune-blue-128-gb/p/itmffdudreuhph5y?pid=MOBFDXZ3Z8WBPDWK&lid=LSTMOBFDXZ3Z8WBPDWKZPE9BP&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=b750c876-dd34-43a7-8c95-d7ee9e26c241.MOBFDXZ3Z8WBPDWK.SEARCH&ssid=sokq0hvttc0000001588503826841&qH=f1067e7173c7b9e6,,"₹13,999","(2,54,843)",4.5,flipkart
10,"Redmi Note 7 Pro (Space Black, 64 GB)",http://www.flipkart.com/redmi-note-7-pro-space-black-64-gb/p/itmfhvuexbzu6fjd?pid=MOBFHUQ4ZPZX89G6&lid=LSTMOBFHUQ4ZPZX89G6KSIIC2&marketplace=FLIPKART&srno=s_1_11&otracker=search&fm=organic&iid=b750c876-dd34-43a7-8c95-d7ee9e26c241.MOBFHUQ4ZPZX89G6.SEARCH&ssid=sokq0hvttc0000001588503826841&qH=f1067e7173c7b9e6,,"₹12,999","(2,54,843)",4.5,flipkart
11,"Redmi Go (Black, 8 GB)",http://www.flipkart.com/redmi-go-black-8-gb/p/itmfeauu7ys4tkhb?pid=MOBFDZQHCJFYXZHX&lid=LSTMOBFDZQHCJFYXZHX4QGFJB&marketplace=FLIPKART&srno=s_1_12&otracker=search&fm=organic&iid=b750c876-dd34-43a7-8c95-d7ee9e26c241.MOBFDZQHCJFYXZHX.SEARCH&ssid=sokq0hvttc0000001588503826841&qH=f1067e7173c7b9e6,,"₹4,499","(1,54,928)",4.3,flipkart
12,CEDO XPRO Tempered Glass Guard for Full Glue Coverage S...,http://www.flipkart.com/cedo-xpro-tempered-glass-guard-full-glue-coverage-screen-protector-xiaomi-redmi-note-8-black/p/itmec6720600b6f9?pid=ACCFKNJNJVEUWSVJ&lid=LSTACCFKNJNJVEUWSVJMB9HVB&marketplace=FLIPKART&srno=s_1_13&otracker=search&fm=organic&iid=b750c876-dd34-43a7-8c95-d7ee9e26c241.ACCFKNJNJVEUWSVJ.SEARCH&ssid=sokq0hvttc0000001588503826841&qH=f1067e7173c7b9e6,,₹125,(13),3.9,flipkart
13,"Redmi Note 7S (Onyx Black, 32 GB)",http://www.flipkart.com/redmi-note-7s-onyx-black-32-gb/p/itmfgpbaq3wyvgwq?pid=MOBFGGJ8VUGCYUTU&lid=LSTMOBFGGJ8VUGCYUTU7PSQH5&marketplace=FLIPKART&srno=s_1_14&otracker=search&fm=organic&iid=b750c876-dd34-43a7-8c95-d7ee9e26c241.MOBFGGJ8VUGCYUTU.SEARCH&ssid=sokq0hvttc0000001588503826841&qH=f1067e7173c7b9e6,,"₹9,999","(2,89,767)",4.4,flipkart
14,"Redmi 7A (Matte Gold, 32 GB)",http://www.flipkart.com/redmi-7a-matte-gold-32-gb/p/itmfhz4cfwesj6qh?pid=MOBFHZ4BYCMVJHVU&lid=LSTMOBFHZ4BYCMVJHVULENQ96&marketplace=FLIPKART&srno=s_1_15&otracker=search&fm=organic&iid=b750c876-dd34-43a7-8c95-d7ee9e26c241.MOBFHZ4BYCMVJHVU.SEARCH&ssid=sokq0hvttc0000001588503826841&qH=f1067e7173c7b9e6,,"₹6,699","(3,51,187)",4.3,flipkart
15,"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)",http://www.flipkart.com/redmi-note-7-pro-astro-moonlight-white-64-gb/p/itm4f1fcde5bd7a3?pid=MOBFJFZDVPAKHXSD&lid=LSTMOBFJFZDVPAKHXSDTRD6VJ&marketplace=FLIPKART&srno=s_1_16&otracker=search&fm=organic&iid=b750c876-dd34-43a7-8c95-d7ee9e26c241.MOBFJFZDVPAKHXSD.SEARCH&ssid=sokq0hvttc0000001588503826841&qH=f1067e7173c7b9e6,,"₹12,999","(2,54,843)",4.5,flipkart
16,"Redmi Note 7 Pro (Space Black, 64 GB)",http://www.flipkart.com/redmi-note-7-pro-space-black-64-gb/p/itmfegkx2gufuzhp?pid=MOBFDXZ36Y4DJBGM&lid=LSTMOBFDXZ36Y4DJBGMQF27GZ&marketplace=FLIPKART&srno=s_1_17&otracker=search&fm=organic&iid=b750c876-dd34-43a7-8c95-d7ee9e26c241.MOBFDXZ36Y4DJBGM.SEARCH&ssid=sokq0hvttc0000001588503826841&qH=f1067e7173c7b9e6,,"₹10,999","(7,84,207)",4.5,flipkart
