,name,link,features,price,rating,avgrating,website
0,Khadi Organique  kills 99.99% germs and infection witho...,http://www.flipkart.com/khadi-organique-kills-99-99-germs-infection-without-water-triple-action-formula-sanitizes-hands-ph-balanced-nourishes-skin-hand-sanitizer-bottle/p/itm79e535b48c44b?pid=HWSFPYWQZCEQJHTQ&lid=LSTHWSFPYWQZCEQJHTQ2VN54S&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=ec0b7f2a-2b24-48ff-be88-45168cfa61d2.HWSFPYWQZCEQJHTQ.SEARCH&ssid=b98og3brc00000001588506539997&qH=249599aa7e2e0ef5,,₹210,(139),4,flipkart
1,"Qraa Safe Hands  for All Kind of Flu, Virus- Anti-Bacte...",http://www.flipkart.com/qraa-safe-hands-all-kind-flu-virus-anti-bacterial-neem-aloe-vera-extracts-500ml-hand-sanitizer-pump-dispenser/p/itmd1d6e7994377c?pid=HWSFQYA9UGAEZKSX&lid=LSTHWSFQYA9UGAEZKSXPOU1W8&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=ec0b7f2a-2b24-48ff-be88-45168cfa61d2.HWSFQYA9UGAEZKSX.SEARCH&ssid=b98og3brc00000001588506539997&qH=249599aa7e2e0ef5,,₹250,(554),4,flipkart
2,Aryanveda Herbals Bodyguard  Disinfectant Gel 500 ml Ha...,http://www.flipkart.com/aryanveda-herbals-bodyguard-disinfectant-gel-500-ml-hand-sanitizer-bottle/p/itm46e825717d083?pid=HWSFPVGVUNQUYPGR&lid=LSTHWSFPVGVUNQUYPGRCZZPSB&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=ec0b7f2a-2b24-48ff-be88-45168cfa61d2.HWSFPVGVUNQUYPGR.SEARCH&ssid=b98og3brc00000001588506539997&qH=249599aa7e2e0ef5,,₹249,(315),4.5,flipkart
3,"Qraa Safe Hands Sanitizing Hand Rub ,Anti-Bacterial Han...",http://www.flipkart.com/qraa-safe-hands-sanitizing-hand-rub-anti-bacterial-neem-aloe-vera-extracts-sanitizer-bottle/p/itm816856cb3ffa3?pid=HWSFPWQ3SGHHHFMW&lid=LSTHWSFPWQ3SGHHHFMWURONBU&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=ec0b7f2a-2b24-48ff-be88-45168cfa61d2.HWSFPWQ3SGHHHFMW.SEARCH&ssid=b98og3brc00000001588506539997&qH=249599aa7e2e0ef5,,₹200,(356),4.1,flipkart
4,Himalaya PureHands Orange Hand Sanitizer Bottle,http://www.flipkart.com/himalaya-purehands-orange-hand-sanitizer-bottle/p/itmf5dg44v7ajzh7?pid=HWSF5DG4ZUZG9ZAJ&lid=LSTHWSF5DG4ZUZG9ZAJFCN9A6&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=ec0b7f2a-2b24-48ff-be88-45168cfa61d2.HWSF5DG4ZUZG9ZAJ.SEARCH&ssid=b98og3brc00000001588506539997&qH=249599aa7e2e0ef5,,₹250,"(4,367)",4.3,flipkart
5,Khadi Organique kills 99.99% germs and infection withou...,http://www.flipkart.com/khadi-organique-kills-99-99-germs-infection-without-water-triple-action-formula-sanitizes-hands-ph-balanced-nourishes-skin-hand-sanitizer-bottle/p/itm309fac708effa?pid=HWSFPWUG6NGUFRKN&lid=LSTHWSFPWUG6NGUFRKNZTM94O&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=ec0b7f2a-2b24-48ff-be88-45168cfa61d2.HWSFPWUG6NGUFRKN.SEARCH&ssid=b98og3brc00000001588506539997&qH=249599aa7e2e0ef5,,₹105,(773),4,flipkart
6,SOBERBIO  with Dispenser Bottle Pack Hand Sanitizer Bot...,http://www.flipkart.com/soberbio-dispenser-bottle-pack-hand-sanitizer/p/itm0d5d6e580ba0a?pid=HWSFPPUPYWYSTGPT&lid=LSTHWSFPPUPYWYSTGPTT1ICYA&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=ec0b7f2a-2b24-48ff-be88-45168cfa61d2.HWSFPPUPYWYSTGPT.SEARCH&ssid=b98og3brc00000001588506539997&qH=249599aa7e2e0ef5,,₹249,(198),3.7,flipkart
7,Kronokare Bye Bye Bacteria -  - 320 ml Hand Sanitizer P...,http://www.flipkart.com/kronokare-bye-bacteria-320-ml-hand-sanitizer-pump-dispenser/p/itmfhjh2nh2yered?pid=HWSFHJJHHHUQJG9T&lid=LSTHWSFHJJHHHUQJG9TQJKPDH&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=ec0b7f2a-2b24-48ff-be88-45168cfa61d2.HWSFHJJHHHUQJG9T.SEARCH&ssid=b98og3brc00000001588506539997&qH=249599aa7e2e0ef5,,₹160,(34),4.2,flipkart
8,Dabur Hand Sanitizing Rub Hand Sanitizer Bottle,http://www.flipkart.com/dabur-hand-sanitizing-rub-sanitizer-bottle/p/itmb6870cb5726c0?pid=HWSFQEMYRT5HBGJC&lid=LSTHWSFQEMYRT5HBGJCMG4ATQ&marketplace=FLIPKART&spotlightTagId=BestsellerId_g9b%2Fema%2Frhm%2Fjrn&srno=s_1_9&otracker=search&fm=organic&iid=ec0b7f2a-2b24-48ff-be88-45168cfa61d2.HWSFQEMYRT5HBGJC.SEARCH&ssid=b98og3brc00000001588506539997&qH=249599aa7e2e0ef5,,₹225,"(9,751)",4.5,flipkart
9,Lifebuoy Total  Hand Sanitizer Bottle,http://www.flipkart.com/lifebuoy-total-hand-sanitizer-bottle/p/itmdf12981cbaf60?pid=HWSFQ6HXX3UMJFG2&lid=LSTHWSFQ6HXX3UMJFG2LE77AN&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=ec0b7f2a-2b24-48ff-be88-45168cfa61d2.HWSFQ6HXX3UMJFG2.SEARCH&ssid=b98og3brc00000001588506539997&qH=249599aa7e2e0ef5,,₹250,"(9,060)",4.5,flipkart
