,name,link,features,price,rating,avgrating,website
0,Aadi Sneakers Black Casual Shoes,https://www.snapdeal.com/product/aadi-lifestyle-gray-casual-shoes/679860250651,,499,134,3.20,snapdeal
1,00RA Sneakers Black Casual Shoes,https://www.snapdeal.com/product/00ra-sneakers-black-casual-shoes/658319272808,,699,,,snapdeal
2,Oxhide Sneakers Blue Casual Shoes,https://www.snapdeal.com/product/oxhide-sneakers-blue-casual-shoes/682830082263,,680,,,snapdeal
3,Fausto Sneakers Black Casual Shoes,https://www.snapdeal.com/product/fausto-sneakers-black-casual-shoes/679119568660,,699,,,snapdeal
4,Rayland Sneakers Black Casual Shoes,https://www.snapdeal.com/product/rayland-sneakers-black-casual-shoes/652009100181,,999,,,snapdeal
5,TECH SHOES Sneakers Brown Casual Shoes,https://www.snapdeal.com/product/tech-shoes-sneakers-brown-casual/643137756980,,725,,,snapdeal
6,Fausto Sneakers Black Casual Shoes,https://www.snapdeal.com/product/fausto-sneakers-black-casual-shoes/673955563223,,699,,,snapdeal
7,Good Minar Sneakers Blue Casual Shoes,https://www.snapdeal.com/product/good-minar-sneakers-blue-casual/621829790532,,555,41,3.25,snapdeal
8,Gliders By Liberty Lifestyle Blue Casual Shoes,https://www.snapdeal.com/product/gliders-by-liberty-boat-blue/676934814956,,398,2,3.00,snapdeal
9,Fausto Sneakers Beige Casual Shoes,https://www.snapdeal.com/product/fausto-sneakers-beige-casual-shoes/630113163632,,699,,,snapdeal
10,Edoeviv Sneakers Blue Casual Shoes,https://www.snapdeal.com/product/edoeviv-sneakers-blue-casual-shoes/653961994712,,536,,,snapdeal
11,Fausto Sneakers Turquoise Casual Shoes,https://www.snapdeal.com/product/fausto-sneakers-turquoise-casual-shoes/630473587279,,699,,,snapdeal
12,Oxhide Sneakers Red Casual Shoes,https://www.snapdeal.com/product/oxhide-sneakers-red-casual-shoes/684778400715,,689,,,snapdeal
13,YUUKI Sneakers Black Casual Shoes,https://www.snapdeal.com/product/yuuki-sneakers-black-casual-shoes/681178047027,,899,,,snapdeal
14,ARKBETON Sneakers Black Casual Shoes,https://www.snapdeal.com/product/arkbeton-sneakers-black-casual-shoes/646466418175,,599,67,3.50,snapdeal
15,Atton Sneakers Black Casual Shoes,https://www.snapdeal.com/product/atton-sneakers-black-casual-shoes/626816284154,,548,1,3.00,snapdeal
16,SIMATA Sneakers Black Casual Shoes,https://www.snapdeal.com/product/simata-sneakers-black-casual-shoes/640494205211,,589,,,snapdeal
17,Fausto Sneakers Red Casual Shoes,https://www.snapdeal.com/product/fausto-sneakers-red-casual-shoes/621378934603,,699,,,snapdeal
