,avgrating,features,link,name,price,rating
0,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-8-onyx-black-64-gb/p/itm74a5b975b3bdf?pid=MOBFKPYDZJQHGJXA&lid=LSTMOBFKPYDZJQHGJXA5X8Q5G&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFKPYDZJQHGJXA.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Redmi 8 (Onyx Black, 64 GB)","₹8,999","4,62,232 Ratings & 38,562 Reviews"
1,4.4,"4 GB RAM | 64 GB ROM |,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 2 GHz Processor,Sunrise Design,Reverse Charging,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-5i-aqua-blue-64-gb/p/itmdac0da867a9fa?pid=MOBFNG3GZXCV63BE&lid=LSTMOBFNG3GZXCV63BEMPJERT&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFNG3GZXCV63BE.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Realme 5i (Aqua Blue, 64 GB)","₹9,999","1,38,042 Ratings & 10,826 Reviews"
2,4.4,"4 GB RAM | 64 GB ROM |,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 2 GHz Processor,Sunrise Design,Reverse Charging,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-5i-forest-green-64-gb/p/itmdac0da867a9fa?pid=MOBFNG3GNW3BU2XE&lid=LSTMOBFNG3GNW3BU2XERAL9TG&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFNG3GNW3BU2XE.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Realme 5i (Forest Green, 64 GB)","₹9,999","1,38,042 Ratings & 10,826 Reviews"
3,4.4,"4 GB RAM | 128 GB ROM |,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 (2 GHz) Processor,Sunrise Design,Reverse Charging,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-5i-aqua-blue-128-gb/p/itmdac0da867a9fa?pid=MOBFP6W584RNB3HH&lid=LSTMOBFP6W584RNB3HHZNLRJ5&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFP6W584RNB3HH.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Realme 5i (Aqua Blue, 128 GB)","₹10,999","1,38,042 Ratings & 10,826 Reviews"
4,4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-c3-frozen-blue-32-gb/p/itm58bf81a807d66?pid=MOBFZHC5HAGKGBBW&lid=LSTMOBFZHC5HAGKGBBWJH2HLH&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFZHC5HAGKGBBW.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Realme C3 (Frozen Blue, 32 GB)","₹7,499","29,493 Ratings & 2,996 Reviews"
5,4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-c3-blazing-red-32-gb/p/itm58bf81a807d66?pid=MOBFZHC5ZGPA8PHH&lid=LSTMOBFZHC5ZGPA8PHHCRJEZ3&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFZHC5ZGPA8PHH.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Realme C3 (Blazing Red, 32 GB)","₹7,499","29,493 Ratings & 2,996 Reviews"
6,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-8-emerald-green-64-gb/p/itm5701cf73cbe1a?pid=MOBFKPYDTSZ8SFHH&lid=LSTMOBFKPYDTSZ8SFHHCHXWZT&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFKPYDTSZ8SFHH.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Redmi 8 (Emerald Green, 64 GB)","₹8,999","4,62,232 Ratings & 38,562 Reviews"
7,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-8-ruby-red-64-gb/p/itmef9ed5039fca6?pid=MOBFKPYDCVSCZBYR&lid=LSTMOBFKPYDCVSCZBYRIZZUTP&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFKPYDCVSCZBYR.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Redmi 8 (Ruby Red, 64 GB)","₹8,999","4,62,232 Ratings & 38,562 Reviews"
8,4.4,"2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,Dual Nano SIM slots and Memory Card Slot,Face Unlock,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-c2-diamond-black-32-gb/p/itmfgwba8kmejqpe?pid=MOBFHBZ4MDMCNHNK&lid=LSTMOBFHBZ4MDMCNHNKOFORJ3&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFHBZ4MDMCNHNK.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Realme C2 (Diamond Black, 32 GB)","₹6,499","7,31,532 Ratings & 63,063 Reviews"
9,4.4,"2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,Dual Nano SIM slots and Memory Card Slot,Face Unlock,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-c2-diamond-blue-32-gb/p/itmfgwba8kmejqpe?pid=MOBFHBZ4ZQB3CTZW&lid=LSTMOBFHBZ4ZQB3CTZWUFZDQI&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFHBZ4ZQB3CTZW.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Realme C2 (Diamond Blue, 32 GB)","₹6,499","7,31,532 Ratings & 63,063 Reviews"
10,4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,Dual Nano SIM slots and Memory Card Slot,Face Unlock,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-c2-diamond-black-32-gb/p/itmfgwba8kmejqpe?pid=MOBFFMG35CZCFEFF&lid=LSTMOBFFMG35CZCFEFFSB3UZP&marketplace=FLIPKART&srno=s_1_11&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFFMG35CZCFEFF.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Realme C2 (Diamond Black, 32 GB)","₹7,499","1,11,471 Ratings & 8,962 Reviews"
