,avgrating,features,link,name,price,rating
0,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-8-onyx-black-64-gb/p/itm74a5b975b3bdf?pid=MOBFKPYDZJQHGJXA&lid=LSTMOBFKPYDZJQHGJXA5X8Q5G&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFKPYDZJQHGJXA.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi 8 (Onyx Black, 64 GB)","₹8,999","4,62,223 Ratings & 38,560 Reviews"
1,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-8-ruby-red-64-gb/p/itmef9ed5039fca6?pid=MOBFKPYDCVSCZBYR&lid=LSTMOBFKPYDCVSCZBYRIZZUTP&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFKPYDCVSCZBYR.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi 8 (Ruby Red, 64 GB)","₹8,999","4,62,223 Ratings & 38,560 Reviews"
2,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-8-emerald-green-64-gb/p/itm5701cf73cbe1a?pid=MOBFKPYDTSZ8SFHH&lid=LSTMOBFKPYDTSZ8SFHHCHXWZT&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFKPYDTSZ8SFHH.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi 8 (Emerald Green, 64 GB)","₹8,999","4,62,223 Ratings & 38,560 Reviews"
3,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-8-sapphire-blue-64-gb/p/itm7efbaeb38bf94?pid=MOBFKPYDENDXZZ7U&lid=LSTMOBFKPYDENDXZZ7U9TT5NP&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFKPYDENDXZZ7U.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi 8 (Sapphire Blue, 64 GB)","₹8,999","4,62,223 Ratings & 38,560 Reviews"
4,4.4,"2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-8a-midnight-black-32-gb/p/itme2e12a5859993?pid=MOBFKF98FFAAY8EB&lid=LSTMOBFKF98FFAAY8EBS8FFCJ&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFKF98FFAAY8EB.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi 8A (Midnight Black, 32 GB)","₹6,999","1,19,837 Ratings & 9,174 Reviews"
5,4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-8a-ocean-blue-32-gb/p/itmeeddf84c49585?pid=MOBFKF98ZVHXHUEP&lid=LSTMOBFKF98ZVHXHUEPBOY0ET&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFKF98ZVHXHUEP.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi 8A (Ocean Blue, 32 GB)","₹7,499","1,09,601 Ratings & 8,997 Reviews"
6,4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-8a-sunset-red-32-gb/p/itme8b392d46394f?pid=MOBFKF987VGBEP4X&lid=LSTMOBFKF987VGBEP4XWPCXLY&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFKF987VGBEP4X.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi 8A (Sunset Red, 32 GB)","₹7,499","1,09,601 Ratings & 8,997 Reviews"
7,4.4,"2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-8a-ocean-blue-32-gb/p/itm1f8d1cbb1d232?pid=MOBFKF98BHTYSAHZ&lid=LSTMOBFKF98BHTYSAHZCWZX8V&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFKF98BHTYSAHZ.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi 8A (Ocean Blue, 32 GB)","₹6,999","1,19,837 Ratings & 9,174 Reviews"
8,4.4,"4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",/redmi-note-8-neptune-blue-64-gb/p/itm16c6c50702ff1?pid=MOBFHFFSG69TGSXQ&lid=LSTMOBFHFFSG69TGSXQPDR1GU&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFHFFSG69TGSXQ.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi Note 8 (Neptune Blue, 64 GB)","₹11,549","10,286 Ratings & 745 Reviews"
9,4.4,"4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",/redmi-note-8-space-black-64-gb/p/itm16c6c50702ff1?pid=MOBFHFFSMVQJYYWY&lid=LSTMOBFHFFSMVQJYYWYVE9JWW&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFHFFSMVQJYYWY.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi Note 8 (Space Black, 64 GB)","₹11,599","10,286 Ratings & 745 Reviews"
10,4.4,"6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",/redmi-note-8-moonlight-white-128-gb/p/itm16c6c50702ff1?pid=MOBFHGTKWVZGCYGN&lid=LSTMOBFHGTKWVZGCYGNYS3PLV&marketplace=FLIPKART&srno=s_1_11&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFHGTKWVZGCYGN.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi Note 8 (Moonlight White, 128 GB)","₹13,390","7,640 Ratings & 637 Reviews"
11,4.4,"6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Display,48MP Rear Camera | 13MP Front Camera,4000 mAh Battery,1 year",/redmi-note-8-cosmic-purple-128-gb/p/itm16c6c50702ff1?pid=MOBFN29D7AG4RPZE&lid=LSTMOBFN29D7AG4RPZELMWWQ2&marketplace=FLIPKART&srno=s_1_12&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFN29D7AG4RPZE.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi Note 8 (Cosmic Purple, 128 GB)","₹14,798","7,640 Ratings & 637 Reviews"
