,avgrating,features,link,name,price,rating
0,4.4,"4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",/redmi-note-8-neptune-blue-64-gb/p/itm16c6c50702ff1?pid=MOBFHFFSG69TGSXQ&lid=LSTMOBFHFFSG69TGSXQPDR1GU&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=e2d68012-ac98-41b3-9023-c73ed9c770c2.MOBFHFFSG69TGSXQ.SEARCH&ssid=2vph1rvdsg0000001587804100002&qH=328809dcd5b96872,"Redmi Note 8 (Neptune Blue, 64 GB)","₹11,549","10,287 Ratings & 745 Reviews"
1,4.4,"4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",/redmi-note-8-space-black-64-gb/p/itm16c6c50702ff1?pid=MOBFHFFSMVQJYYWY&lid=LSTMOBFHFFSMVQJYYWYVE9JWW&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=e2d68012-ac98-41b3-9023-c73ed9c770c2.MOBFHFFSMVQJYYWY.SEARCH&ssid=2vph1rvdsg0000001587804100002&qH=328809dcd5b96872,"Redmi Note 8 (Space Black, 64 GB)","₹11,599","10,287 Ratings & 745 Reviews"
2,4.4,"6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",/redmi-note-8-moonlight-white-128-gb/p/itm16c6c50702ff1?pid=MOBFHGTKWVZGCYGN&lid=LSTMOBFHGTKWVZGCYGNYS3PLV&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=e2d68012-ac98-41b3-9023-c73ed9c770c2.MOBFHGTKWVZGCYGN.SEARCH&ssid=2vph1rvdsg0000001587804100002&qH=328809dcd5b96872,"Redmi Note 8 (Moonlight White, 128 GB)","₹13,390","7,640 Ratings & 637 Reviews"
3,4.4,"6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Display,48MP Rear Camera | 13MP Front Camera,4000 mAh Battery,1 year",/redmi-note-8-cosmic-purple-128-gb/p/itm16c6c50702ff1?pid=MOBFN29D7AG4RPZE&lid=LSTMOBFN29D7AG4RPZELMWWQ2&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=e2d68012-ac98-41b3-9023-c73ed9c770c2.MOBFN29D7AG4RPZE.SEARCH&ssid=2vph1rvdsg0000001587804100002&qH=328809dcd5b96872,"Redmi Note 8 (Cosmic Purple, 128 GB)","₹14,798","7,640 Ratings & 637 Reviews"
4,4.4,"4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Display,48MP Rear Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",/redmi-note-8-cosmic-purple-64-gb/p/itmf9758349ff6ba?pid=MOBFNY8Z8RZXUTA2&lid=LSTMOBFNY8Z8RZXUTA2QHBKYL&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=e2d68012-ac98-41b3-9023-c73ed9c770c2.MOBFNY8Z8RZXUTA2.SEARCH&ssid=2vph1rvdsg0000001587804100002&qH=328809dcd5b96872,"Redmi Note 8 (Cosmic Purple, 64 GB)","₹11,699","10,287 Ratings & 745 Reviews"
5,4.4,"6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",/redmi-note-8-neptune-blue-128-gb/p/itm16c6c50702ff1?pid=MOBFHGTDVHK5CFG5&lid=LSTMOBFHGTDVHK5CFG5PZKBHK&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=e2d68012-ac98-41b3-9023-c73ed9c770c2.MOBFHGTDVHK5CFG5.SEARCH&ssid=2vph1rvdsg0000001587804100002&qH=328809dcd5b96872,"Redmi Note 8 (Neptune Blue, 128 GB)","₹13,690","7,640 Ratings & 637 Reviews"
6,4.4,"4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",/redmi-note-8-moonlight-white-64-gb/p/itm16c6c50702ff1?pid=MOBFHGTKYGZBXNGK&lid=LSTMOBFHGTKYGZBXNGKTKK6NS&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=e2d68012-ac98-41b3-9023-c73ed9c770c2.MOBFHGTKYGZBXNGK.SEARCH&ssid=2vph1rvdsg0000001587804100002&qH=328809dcd5b96872,"Redmi Note 8 (Moonlight White, 64 GB)","₹11,470","10,287 Ratings & 745 Reviews"
7,4.4,"6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",/redmi-note-8-space-black-128-gb/p/itm16c6c50702ff1?pid=MOBFHHQRQF2A4PS2&lid=LSTMOBFHHQRQF2A4PS2QHXMJB&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=e2d68012-ac98-41b3-9023-c73ed9c770c2.MOBFHHQRQF2A4PS2.SEARCH&ssid=2vph1rvdsg0000001587804100002&qH=328809dcd5b96872,"Redmi Note 8 (Space Black, 128 GB)","₹12,999","7,640 Ratings & 637 Reviews"
8,4.4,"3 GB RAM | 32 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",/redmi-note-8-space-black-32-gb/p/itmfae9a005ca1d4?pid=MOBFM2Z3UNKJKAJH&lid=LSTMOBFM2Z3UNKJKAJHOUABE5&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=e2d68012-ac98-41b3-9023-c73ed9c770c2.MOBFM2Z3UNKJKAJH.SEARCH&ssid=2vph1rvdsg0000001587804100002&qH=328809dcd5b96872,"Redmi Note 8 (Space Black, 32 GB)","₹10,595",317 Ratings & 17 Reviews
9,4.4,"3 GB RAM | 32 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",/redmi-note-8-moonlight-white-32-gb/p/itmfae9a005ca1d4?pid=MOBFM2ZG5XGGFWTH&lid=LSTMOBFM2ZG5XGGFWTHOGT16B&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=e2d68012-ac98-41b3-9023-c73ed9c770c2.MOBFM2ZG5XGGFWTH.SEARCH&ssid=2vph1rvdsg0000001587804100002&qH=328809dcd5b96872,"Redmi Note 8 (Moonlight White, 32 GB)","₹10,930",317 Ratings & 17 Reviews
